cr,method,mean,lower,upper
1,raw,0.02557544757033248,0.02085651861680471,0.031020189594021197
1,herzog,0.018,0.01,0.026
1,rg,0.015867115184620906,6.197569580468926e-4,0.031114473411194922
1,srg,0.017553422412471497,0.0013602100385671813,0.03374663478637581
1,srgm,0.01951407698047468,0.0019284185032504772,0.03709973545769888
2,raw,0.056814836620547544,0.04926742861091338,0.06513586090005563
2,herzog,0.053,0.042,0.064
2,rg,0.053120781116249516,0.03641525078640735,0.06982631144609168
2,srg,0.05933141895871717,0.04070949830445785,0.07795333961297649
2,srgm,0.052141846447722344,0.03448268176140823,0.06980101113403646
3,raw,0.06570018507094386,0.057412384802659755,0.07478149192688477
3,herzog,0.062,0.051,0.073
3,rg,0.06371675667534585,0.04648240554884722,0.08095110780184447
3,srg,0.06376472241027878,0.04599072478674887,0.08153872003380869
3,srgm,0.06350793181929736,0.045820861345123025,0.08119500229347168
4,raw,0.05675675675675676,0.04869408810543374,0.06570883844246156
4,herzog,0.047,0.037,0.059
4,rg,0.05305151958749365,0.035972263859814196,0.0701307753151731
4,srg,0.046521176768631704,0.029659230409634373,0.06338312312762903
4,srgm,0.04739344135178729,0.03033962131303045,0.06444726139054413
5,raw,0.04565001653986107,0.03848713433852091,0.05370781407185121
5,herzog,0.037,0.026,0.047
5,rg,0.039806484962632234,0.02331270935847805,0.056300260566786414
5,srg,0.04034684482508381,0.023764962947238615,0.056928726702929
5,srgm,0.03688531760499217,0.02020296032651109,0.05356767488347325
6,raw,0.04069576632753528,0.033960381542223805,0.048330007110906514
6,herzog,0.033,0.023,0.043
6,rg,0.03389843144548388,0.017651825137909014,0.050145037753058744
6,srg,0.03282409834908252,0.016118314906614018,0.04952988179155103
6,srgm,0.03504111188803934,0.017586681222140545,0.05249554255393814
7,raw,0.04821308159136885,0.040784298081453674,0.056548412567220985
7,herzog,0.042,0.031,0.052
7,rg,0.0428629970165787,0.02620127097863693,0.05952472305452046
7,srg,0.042294171788880265,0.025014345932322175,0.05957399764543836
7,srgm,0.045595292308276504,0.02577184584659426,0.06541873876995874
