province,age_cat,sex,count,stratum_prop
Antwerp,"[0,10)",m,107418,0.009346676712515427
Antwerp,"[10,20)",m,105717,0.009198668956943839
Antwerp,"[20,30)",m,113591,0.009883803035351057
Antwerp,"[30,40)",m,122336,0.010644724741684701
Antwerp,"[40,50)",m,119812,0.010425105943881829
Antwerp,"[50,60)",m,132931,0.011566619021685268
Antwerp,"[60,70)",m,109867,0.00955976959516964
Antwerp,"[70,80)",m,72665,0.006322741657030791
Antwerp,"[80,90)",m,37627,0.0032740081239812503
Antwerp,"[90,Inf)",m,5809,5.054538813141383e-4
Flemish Brabant,"[0,10)",m,65265,0.005678851362363098
Flemish Brabant,"[10,20)",m,68897,0.00599487967996216
Flemish Brabant,"[20,30)",m,68884,0.005993748521336393
Flemish Brabant,"[30,40)",m,69820,0.0060751919423916575
Flemish Brabant,"[40,50)",m,75853,0.0066001365569497905
Flemish Brabant,"[50,60)",m,81937,0.007129518793809012
Flemish Brabant,"[60,70)",m,66434,0.005780568626480197
Flemish Brabant,"[70,80)",m,43447,0.0037804191395171918
Flemish Brabant,"[80,90)",m,22903,0.001992840461996507
Flemish Brabant,"[90,Inf)",m,3656,3.1811661044663277e-4
Walloon Brabant,"[0,10)",m,22092,0.0019222735661890073
Walloon Brabant,"[10,20)",m,25797,0.002244653774532764
Walloon Brabant,"[20,30)",m,24858,0.002162949316871553
Walloon Brabant,"[30,40)",m,23850,0.002075241017273575
Walloon Brabant,"[40,50)",m,26343,0.002292162436815002
Walloon Brabant,"[50,60)",m,27817,0.0024204184225366477
Walloon Brabant,"[60,70)",m,22716,0.001976569180225851
Walloon Brabant,"[70,80)",m,15328,0.001333723031981944
Walloon Brabant,"[80,90)",m,7062,6.144801703977353e-4
Walloon Brabant,"[90,Inf)",m,1171,1.0189128852106318e-4
West Flanders,"[0,10)",m,59745,0.005198544007421793
West Flanders,"[10,20)",m,62943,0.005476809029360615
West Flanders,"[20,30)",m,70024,0.00609294243159601
West Flanders,"[30,40)",m,71393,0.006212062136109533
West Flanders,"[40,50)",m,74321,0.006466833863513182
West Flanders,"[50,60)",m,88308,0.007683873532637102
West Flanders,"[60,70)",m,77789,0.0067685921799871766
West Flanders,"[70,80)",m,56345,0.004902702520682583
West Flanders,"[80,90)",m,29795,0.002592528558057282
West Flanders,"[90,Inf)",m,4696,4.0860930050803815e-4
East Flanders,"[0,10)",m,82510,0.007179376785544768
East Flanders,"[10,20)",m,85260,0.007418660340995599
East Flanders,"[20,30)",m,92891,0.00808265045432116
East Flanders,"[30,40)",m,98195,0.008544163173634328
East Flanders,"[40,50)",m,102347,0.008905437836264093
East Flanders,"[50,60)",m,108688,0.00945718220903272
East Flanders,"[60,70)",m,88700,0.007717982315814094
East Flanders,"[70,80)",m,59608,0.005186623335750242
East Flanders,"[80,90)",m,30831,0.002682673199310759
East Flanders,"[90,Inf)",m,4469,3.888575306580968e-4
Hainaut,"[0,10)",m,76153,0.006626240217544427
Hainaut,"[10,20)",m,83174,0.0072371528876608955
Hainaut,"[20,30)",m,82024,0.007137088855381456
Hainaut,"[30,40)",m,84664,0.007366801068614255
Hainaut,"[40,50)",m,90075,0.007837624093539509
Hainaut,"[50,60)",m,91427,0.007955264590619337
Hainaut,"[60,70)",m,77367,0.006731873030750722
Hainaut,"[70,80)",m,47664,0.004147349595275795
Hainaut,"[80,90)",m,19950,0.001735893429543305
Hainaut,"[90,Inf)",m,3226,2.8070136359432095e-4
Liege,"[0,10)",m,62878,0.005471153236231777
Liege,"[10,20)",m,66001,0.005742892343021939
Liege,"[20,30)",m,69252,0.006025769011665813
Liege,"[30,40)",m,71079,0.006184740304687147
Liege,"[40,50)",m,71469,0.0062186750634601745
Liege,"[50,60)",m,76130,0.006624238936898838
Liege,"[60,70)",m,65043,0.005659534653523067
Liege,"[70,80)",m,40037,0.003483707530758161
Liege,"[80,90)",m,18706,0.0016276502502775472
Liege,"[90,Inf)",m,2778,2.4171989710633092e-4
Limburg,"[0,10)",m,45010,0.003916419211215247
Limburg,"[10,20)",m,47304,0.004116025202562231
Limburg,"[20,30)",m,49631,0.004318502596574626
Limburg,"[30,40)",m,54448,0.0047376403735225
Limburg,"[40,50)",m,57401,0.004994587405975702
Limburg,"[50,60)",m,67182,0.005845653753562823
Limburg,"[60,70)",m,58450,0.005085863205854946
Limburg,"[70,80)",m,36758,0.0031983945204587874
Limburg,"[80,90)",m,18242,0.0015872765885578432
Limburg,"[90,Inf)",m,2345,2.040436136480727e-4
Luxembourg,"[0,10)",m,16813,0.001462936151925393
Luxembourg,"[10,20)",m,18633,0.0016212983595328525
Luxembourg,"[20,30)",m,18769,0.0016331320190024208
Luxembourg,"[30,40)",m,18797,0.0016355683606579202
Luxembourg,"[40,50)",m,19273,0.0016769861688014096
Luxembourg,"[50,60)",m,19825,0.0017250169042955401
Luxembourg,"[60,70)",m,15888,0.0013824498650919315
Luxembourg,"[70,80)",m,9452,8.224393331350035e-4
Luxembourg,"[80,90)",m,4560,3.9677564103846974e-4
Luxembourg,"[90,Inf)",m,700,6.090854138748439e-5
Namur,"[0,10)",m,27032,0.002352113843980683
Namur,"[10,20)",m,30217,0.002629247707293737
Namur,"[20,30)",m,31216,0.0027161728970738755
Namur,"[30,40)",m,31649,0.0027538491805321336
Namur,"[40,50)",m,32246,0.0028057954651154594
Namur,"[50,60)",m,34190,0.002974947185768702
Namur,"[60,70)",m,29481,0.0025652067266348963
Namur,"[70,80)",m,17936,0.0015606508547513144
Namur,"[80,90)",m,7888,6.86352249234967e-4
Namur,"[90,Inf)",m,1164,1.0128220310718833e-4
Brussels,"[0,10)",m,83715,0.0072842264889332225
Brussels,"[10,20)",m,71746,0.006242777443409221
Brussels,"[20,30)",m,88375,0.007689703350169904
Brussels,"[30,40)",m,99190,0.008630740314606538
Brussels,"[40,50)",m,89943,0.00782613848287787
Brussels,"[50,60)",m,72909,0.006343972634314428
Brussels,"[60,70)",m,47259,0.004112109653473035
Brussels,"[70,80)",m,27919,0.0024292936671388237
Brussels,"[80,90)",m,13935,0.00121251503462085
Brussels,"[90,Inf)",m,2715,2.3623812838145732e-4
Antwerp,"[0,10)",f,102982,0.00896069058452274
Antwerp,"[10,20)",f,100061,0.008706527942532965
Antwerp,"[20,30)",f,111832,0.009730748572064506
Antwerp,"[30,40)",f,122291,0.010640809192595505
Antwerp,"[40,50)",f,117259,0.010202963792221475
Antwerp,"[50,60)",f,128893,0.011215263750081465
Antwerp,"[60,70)",f,110789,0.009639994845397154
