sex,race,age,pat_count,stratum_prop
Male,White,"[0,20)",374769,0.044957656
Male,Black or African American,"[0,20)",255848,0.030691777
Male,Asian,"[0,20)",121622,0.014589894
Male,Other,"[0,20)",221268,0.026543526
Male,White,"[20,40)",556233,0.066726255
Male,Black or African American,"[20,40)",280948,0.033702797
Male,Asian,"[20,40)",182966,0.021948781
Male,Other,"[20,40)",258901,0.031058017
Male,White,"[40,60)",421627,0.050578788
Male,Black or African American,"[40,60)",233878,0.028056234
Male,Asian,"[40,60)",155477,0.018651173
Male,Other,"[40,60)",177217,0.021259125
Male,White,"[60,80)",305900,0.036696064
Male,Black or African American,"[60,80)",142359,0.017077525
Male,Asian,"[60,80)",94690,0.011359105
Male,Other,"[60,80)",80685,0.009679052
Male,White,"[80,Inf)",70103,0.008409625
Male,Black or African American,"[80,Inf)",24555,0.002945642
Male,Asian,"[80,Inf)",18242,0.002188328
Male,Other,"[80,Inf)",9041,0.001084567
Female,White,"[0,20)",361940,0.043418677
Female,Black or African American,"[0,20)",237342,0.028471779
Female,Asian,"[0,20)",107435,0.012888008
Female,Other,"[0,20)",207044,0.024837201
Female,White,"[20,40)",570704,0.068462211
Female,Black or African American,"[20,40)",313036,0.037552105
Female,Asian,"[20,40)",209309,0.025108913
Female,Other,"[20,40)",236297,0.028346419
Female,White,"[40,60)",403512,0.048405695
Female,Black or African American,"[40,60)",304858,0.036571064
Female,Asian,"[40,60)",178252,0.021383284
Female,Other,"[40,60)",205778,0.02468533
Female,White,"[60,80)",367936,0.044137963
Female,Black or African American,"[60,80)",211133,0.025327721
Female,Asian,"[60,80)",112659,0.013514684
Female,Other,"[60,80)",110939,0.013308351
Female,White,"[80,Inf)",114492,0.013734572
Female,Black or African American,"[80,Inf)",53838,0.006458459
Female,Asian,"[80,Inf)",21878,0.002624506
Female,Other,"[80,Inf)",21333,0.002559128
