Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Staten Island Community..., NYC-Staten Island Community..., NYC-Staten Island Community..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..."
"","Age recode (AGEP_RC1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Not Elsewhere Classified","","","","","","","","","","","Between 80 and 99","","","","","","","","","","","Between 60 and 79","","","","","","","","","","","Between 40 and 59","","","","","","","","","","","Between 20 and 39","","","","","","","","","",""
"","","Sex (SEX)","","","","","","","","","","","Sex (SEX)","","","","","","","","","","","Sex (SEX)","","","","","","","","","","","Sex (SEX)","","","","","","","","","","","Sex (SEX)","","","","","","","","","",""
"","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","",""
"","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","",""
"Selected Geographies","Total","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American "
" -> Total","8336044","1887268","973507","121622","221268","374769","255848","913761","107435","207044","361940","237342","333482","121941","18242","9041","70103","24555","211541","21878","21333","114492","53838","1426301","623634","94690","80685","305900","142359","802667","112659","110939","367936","211133","2080599","988199","155477","177217","421627","233878","1092400","178252","205778","403512","304858","2608394","1279048","182966","258901","556233","280948","1329346","209309","236297","570704","313036"
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York","104081","23686","11250","405","2831","5531","2483","12436","248","4929","4755","2504","5679","1711","193","0","1453","65","3968","111","669","2734","454","23265","9798","511","872","6831","1584","13467","598","3628","7036","2205","23289","9363","520","2176","4665","2002","13926","649","2990","7826","2461","28162","13489","515","4134","5939","2901","14673","1049","5529","5531","2564"
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York","149124","37087","18918","164","5294","2058","11402","18169","53","4730","2130","11256","6086","2126","0","614","278","1234","3960","53","297","985","2625","27001","11936","189","598","2297","8852","15065","260","1617","2446","10742","34616","14484","155","1481","1754","11094","20132","283","3670","2362","13817","44334","21997","534","5008","2825","13630","22337","311","5009","3073","13944"
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York","110744","19234","10955","398","3691","4333","2533","8279","435","1397","3679","2768","7558","3381","0","359","2483","539","4177","0","1001","2380","796","25156","10924","1168","248","5983","3525","14232","141","2136","7471","4484","27878","14263","182","3632","5831","4618","13615","507","3289","4738","5081","30918","15278","561","4794","5528","4395","15640","702","4048","6388","4502"
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York","125400","29960","13050","1251","4717","3351","3731","16910","1697","5540","4017","5656","5743","2113","30","138","1452","493","3630","0","964","1640","1026","19811","9286","537","2123","3719","2907","10525","575","1947","4628","3375","33597","15492","1715","5309","4371","4097","18105","2103","6745","3791","5466","36289","18804","1832","7114","4628","5230","17485","2294","7147","4009","4035"
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York","172379","53861","26987","26","7620","2961","16380","26874","145","10480","4343","11906","3943","820","0","305","343","172","3123","0","1280","748","1095","21289","8696","0","2403","2420","3873","12593","41","3720","3340","5492","39535","18325","0","6018","1831","10476","21210","0","7860","2286","11064","53751","24503","675","9501","4523","9804","29248","217","8442","3781","16808"
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York","151504","43750","23213","1031","11420","3290","7472","20537","1034","11008","4762","3733","4037","1184","85","91","174","834","2853","118","792","1028","915","17276","7456","1111","2663","1847","1835","9820","901","3080","3568","2271","35810","17217","1101","8668","4307","3141","18593","1139","9470","3780","4204","50631","28277","1765","15828","7149","3535","22354","1663","10153","5211","5327"
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York","138141","41803","20370","159","7260","4173","8778","21433","556","9885","3382","7610","2020","606","0","0","295","311","1414","78","390","499","447","17737","7501","188","2977","1371","2965","10236","409","4270","1477","4080","34441","14813","400","4133","2560","7720","19628","337","8434","2779","8078","42140","19102","515","8121","2194","8272","23038","509","8609","3449","10471"
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York","140488","45615","23576","345","9216","5408","8607","22039","181","9521","2138","10199","2470","836","234","0","461","141","1634","0","460","480","694","14631","5889","0","1340","1696","2853","8742","421","2396","1472","4453","38163","16438","122","5755","2285","8276","21725","242","6989","2920","11574","39609","17467","124","7243","3797","6303","22142","94","10436","3928","7684"
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York","177936","46318","27027","2662","11806","3976","8583","19291","1071","8792","4342","5086","6952","2674","138","348","1167","1021","4278","117","933","711","2517","30528","13207","931","5513","2238","4525","17321","1104","5792","4130","6295","42746","18804","1771","6815","4210","6008","23942","2157","9132","3159","9494","51392","26045","1630","10960","3593","9862","25347","1757","12938","3208","7444"
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York","147414","40949","22097","0","10673","3031","8393","18852","0","8046","3069","7737","3289","659","0","380","0","279","2630","0","1050","794","786","21248","9140","0","4359","2510","2271","12108","0","6147","1972","3989","35523","16395","150","6444","3498","6303","19128","159","9640","2965","6364","46405","23925","186","8748","4134","10857","22480","0","8322","3932","10226"
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York","204016","38848","18854","0","10757","5278","2819","19994","102","10706","6912","2274","9175","2762","0","1268","757","737","6413","158","3491","1943","821","31955","12989","406","5266","5712","1605","18966","579","9474","5702","3211","50823","25280","612","12122","8395","4151","25543","923","13674","7028","3918","73215","37058","1220","17474","12713","5651","36157","1258","14980","15023","4896"
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York","133466","23715","11692","1034","3919","4950","1789","12023","703","2807","7511","1002","5224","943","385","0","202","356","4281","0","1278","1513","1490","18822","10144","147","4116","3711","2170","8678","396","2908","3620","1754","28093","13974","931","4140","5079","3824","14119","610","5884","4636","2989","57612","28170","2591","6502","14548","4529","29442","5314","5528","14216","4384"
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York","136160","30866","16639","316","3401","3273","9649","14227","59","3648","2560","7960","4625","944","0","257","122","565","3681","295","192","110","3084","18696","8140","153","566","1419","6002","10556","600","1041","1847","7068","34969","14962","827","1833","3328","8974","20007","965","3331","4670","11041","47004","21591","861","3908","6387","10435","25413","824","4228","6934","13427"
"NYC-Manhattan Community District 11--East Harlem PUMA, New York","110991","22024","10502","580","2437","1998","5487","11522","258","3216","2996","5052","4113","1191","0","374","311","506","2922","0","643","694","1585","16754","7150","336","2081","2089","2644","9604","63","3845","2437","3259","28443","12366","693","2234","4434","5005","16077","1152","3862","3393","7670","39657","20271","1449","6382","6166","6274","19386","1669","5322","6481","5914"
