z1,z2,z3,z4,stratum_prop,sampling_prob
z10,z20,z30,z40,0.0125,0.01375
z10,z20,z31,z40,0.015,0.01625
z10,z20,z32,z40,0.015,0.0175
z10,z20,z33,z40,0.015,0.01625
z10,z20,z34,z40,0.0125,0.01375
z10,z21,z30,z40,0.0075,0.005
z10,z21,z31,z40,0.0075,0.00375
z10,z21,z32,z40,0.01,0.00375
z10,z21,z33,z40,0.0125,0.002
z10,z21,z34,z40,0.005,0.002
z10,z22,z30,z40,0.00125,0.001
z10,z22,z31,z40,0.0025,0.002
z10,z22,z32,z40,0.0025,0.002
z10,z22,z33,z40,0.0025,0.002
z10,z22,z34,z40,0.00125,0.001
z10,z23,z30,z40,0.001,0.00025
z10,z23,z31,z40,0.00125,0.0005
z10,z23,z32,z40,0.00125,0.0005
z10,z23,z33,z40,0.00125,0.0005
z10,z23,z34,z40,0.001,0.0005
z11,z20,z30,z40,0.01,0.015
z11,z20,z31,z40,0.015,0.02
z11,z20,z32,z40,0.015,0.03175
z11,z20,z33,z40,0.01675,0.025
z11,z20,z34,z40,0.0125,0.025
z11,z21,z30,z40,0.0075,0.00225
z11,z21,z31,z40,0.01,0.0025
z11,z21,z32,z40,0.005,0.002
z11,z21,z33,z40,0.005,0.002
z11,z21,z34,z40,0.0025,0.0015
z11,z22,z30,z40,0.001125,0.00125
z11,z22,z31,z40,0.001375,0.0015
z11,z22,z32,z40,0.001375,0.002
z11,z22,z33,z40,0.001375,0.0025
z11,z22,z34,z40,0.001,0.0025
z11,z23,z30,z40,0.00125,0.00125
z11,z23,z31,z40,0.005,0.002
z11,z23,z32,z40,0.00375,0.002
z11,z23,z33,z40,0.00375,0.0025
z11,z23,z34,z40,0.0025,0.00125
z10,z20,z30,z41,0.0375,0.04125
z10,z20,z31,z41,0.045,0.04875
z10,z20,z32,z41,0.045,0.0525
z10,z20,z33,z41,0.045,0.04875
z10,z20,z34,z41,0.0375,0.04125
z10,z21,z30,z41,0.0225,0.015
z10,z21,z31,z41,0.0225,0.01125
z10,z21,z32,z41,0.03,0.01125
z10,z21,z33,z41,0.0375,0.006
z10,z21,z34,z41,0.015,0.006
z10,z22,z30,z41,0.00375,0.003
z10,z22,z31,z41,0.0075,0.006
z10,z22,z32,z41,0.0075,0.006
z10,z22,z33,z41,0.0075,0.006
z10,z22,z34,z41,0.00375,0.003
z10,z23,z30,z41,0.003,0.00075
z10,z23,z31,z41,0.00375,0.0015
z10,z23,z32,z41,0.00375,0.0015
z10,z23,z33,z41,0.00375,0.0015
z10,z23,z34,z41,0.003,0.0015
z11,z20,z30,z41,0.03,0.045
z11,z20,z31,z41,0.045,0.06
z11,z20,z32,z41,0.045,0.09525
z11,z20,z33,z41,0.05025,0.075
z11,z20,z34,z41,0.0375,0.075
z11,z21,z30,z41,0.0225,0.00675
z11,z21,z31,z41,0.03,0.0075
z11,z21,z32,z41,0.015,0.006
z11,z21,z33,z41,0.015,0.006
z11,z21,z34,z41,0.0075,0.0045
z11,z22,z30,z41,0.003375,0.00375
z11,z22,z31,z41,0.004125,0.0045
z11,z22,z32,z41,0.004125,0.006
z11,z22,z33,z41,0.004125,0.0075
z11,z22,z34,z41,0.003,0.0075
z11,z23,z30,z41,0.00375,0.00375
z11,z23,z31,z41,0.015,0.006
z11,z23,z32,z41,0.01125,0.006
z11,z23,z33,z41,0.01125,0.0075
z11,z23,z34,z41,0.0075,0.00375
