n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,n_sims
30,30,500,0.8,0.8,0.005,842.0326158562697,10000
30,30,500,0.8,0.8,0.05,50.04588690517258,NA
30,30,500,0.8,0.8,0.3,-2.1391449680568018,NA
30,30,500,0.8,0.95,0.005,372.9898290175452,NA
30,30,500,0.8,0.95,0.05,10.869595598674188,NA
30,30,500,0.8,0.95,0.3,0.1367111223665729,NA
30,30,500,0.8,1,0.005,0.9723868292556628,NA
30,30,500,0.8,1,0.05,0.879118535316678,NA
30,30,500,0.8,1,0.3,0.8175588780131398,NA
30,30,500,0.95,0.8,0.005,678.7964407270862,NA
30,30,500,0.95,0.8,0.05,31.16137691497081,NA
30,30,500,0.95,0.8,0.3,-2.142441684096756,NA
30,30,500,0.95,0.95,0.005,308.31666252860896,NA
30,30,500,0.95,0.95,0.05,6.652018662716668,NA
30,30,500,0.95,0.95,0.3,-0.23179389882382884,NA
30,30,500,0.95,1,0.005,0.702087961946523,NA
30,30,500,0.95,1,0.05,-0.05153613607107588,NA
30,30,500,0.95,1,0.3,0.3277237888076878,NA
30,30,500,1,0.8,0.005,636.6461073686605,NA
30,30,500,1,0.8,0.05,26.796693386550192,NA
30,30,500,1,0.8,0.3,-1.992683044629573,NA
30,30,500,1,0.95,0.005,289.4417339901476,NA
30,30,500,1,0.95,0.05,5.6368822870616615,NA
30,30,500,1,0.95,0.3,-0.35885147299365616,NA
30,30,500,1,1,0.005,-0.02399999999990951,NA
30,30,500,1,1,0.05,-0.26159999999991745,NA
30,30,500,1,1,0.3,-0.08773333333332116,NA
30,30,5000,0.8,0.8,0.005,771.7807695590673,NA
30,30,5000,0.8,0.8,0.05,40.794008104138136,NA
30,30,5000,0.8,0.8,0.3,-2.399648313132626,NA
30,30,5000,0.8,0.95,0.005,376.7143541249577,NA
30,30,5000,0.8,0.95,0.05,10.62026019182602,NA
30,30,5000,0.8,0.95,0.3,0.29889697083703337,NA
30,30,5000,0.8,1,0.005,0.8284264004200514,NA
30,30,5000,0.8,1,0.05,1.05624733339707,NA
30,30,5000,0.8,1,0.3,1.0657729743318394,NA
