n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,n_sims
30,30,500,0.8,0.8,0.05,45.30725586609336,0.07597773541475301,0.13161390546746027,0.9179,10000
30,30,500,0.8,0.8,0.3,-1.2135993348511196,0.1053165896362766,0.10676768039087241,0.9551,NA
30,30,500,0.8,0.95,0.05,10.42255495492081,0.041406710923695696,0.052883656658568846,0.7954,NA
30,30,500,0.8,0.95,0.3,0.34120277568922,0.0566056951655789,0.05601834335713038,0.9739,NA
30,30,500,0.8,1,0.05,1.106877553268576,0.01215759981040388,0.012001650044739708,0.9376,NA
30,30,500,0.8,1,0.3,0.9625257388328942,0.03758963256514219,0.03723101867019719,0.946,NA
30,30,5000,0.8,0.8,0.05,45.50935993144442,0.07354292920870045,0.12598336723214226,0.902,NA
30,30,5000,0.8,0.8,0.3,-2.0584444981007017,0.10049630144080605,0.10140415281886872,0.9483,NA
30,30,5000,0.8,0.95,0.05,10.697304679815888,0.03970124173403123,0.049355175865447715,0.7866,NA
30,30,5000,0.8,0.95,0.3,0.4379935597520294,0.0510634323178194,0.049742242755684354,0.9724,NA
30,30,5000,0.8,1,0.05,0.9320521330659776,0.006050095816837354,0.0058907523871061665,0.9361,NA
30,30,5000,0.8,1,0.3,0.843162068958107,0.029676442849867694,0.02912308816459431,0.9173,NA
30,30,20000,0.8,0.8,0.05,45.2114611979752,0.07383694063075318,0.1257357088275213,0.8929,NA
30,30,20000,0.8,0.8,0.3,-1.8757464686926517,0.10037156408674666,0.10073342849389595,0.9489,NA
30,30,20000,0.8,0.95,0.05,10.339359603864464,0.039230082860790855,0.04887697614766676,0.789,NA
30,30,20000,0.8,0.95,0.3,0.12656947976754282,0.05037378047337401,0.04923770901717951,0.977,NA
30,30,20000,0.8,1,0.05,0.781481810393253,0.005201999382817638,0.005007043045807764,0.9182,NA
30,30,20000,0.8,1,0.3,0.7952455926298341,0.029274945524654677,0.028260755436547404,0.9057,NA
30,300,500,0.8,0.8,0.05,7.332305330777957,0.042618163810298565,0.049985904116432056,0.9774,NA
30,300,500,0.8,0.8,0.3,1.2291160506141727,0.06150088186924812,0.06042107119960519,0.9563,NA
30,300,500,0.8,0.95,0.05,0.4187049107563928,0.02377435878312103,0.024078175871600157,0.9622,NA
30,300,500,0.8,0.95,0.3,0.7705311996795139,0.043252058090561527,0.04229282208040437,0.948,NA
30,300,500,0.8,1,0.05,1.1718144374393835,0.012389578684460749,0.012019246430315092,0.9382,NA
30,300,500,0.8,1,0.3,0.7546078782122989,0.03807205463545206,0.03711107806361419,0.9388,NA
30,300,5000,0.8,0.8,0.05,3.7531899012916283,0.03536236629938532,0.03963549418644437,0.9695,NA
30,300,5000,0.8,0.8,0.3,1.184871381452827,0.049691674424961925,0.04916071430262922,0.9502,NA
30,300,5000,0.8,0.95,0.05,0.39369996364725657,0.01785481320298576,0.017817316364518936,0.9548,NA
30,300,5000,0.8,0.95,0.3,0.8056814150913343,0.03459392399795774,0.033569759031820114,0.9295,NA
30,300,5000,0.8,1,0.05,1.0627894498581174,0.0060272412936807915,0.005896571299093664,0.9401,NA
30,300,5000,0.8,1,0.3,0.7050275900570465,0.029798914295752182,0.02896913893129554,0.9145,NA
30,300,20000,0.8,0.8,0.05,3.538961479170918,0.03444799316846486,0.03845927254583388,0.9683,NA
30,300,20000,0.8,0.8,0.3,1.2004828093954054,0.04919408529312603,0.04812251756652205,0.9464,NA
30,300,20000,0.8,0.95,0.05,0.6979315094216704,0.017079567729414685,0.01716954429872496,0.954,NA
30,300,20000,0.8,0.95,0.3,1.057159381188703,0.03449687198811856,0.03291461816337753,0.9311,NA
30,300,20000,0.8,1,0.05,0.7494688677851663,0.0051201414785006704,0.0049930217414724315,0.923,NA
30,300,20000,0.8,1,0.3,1.0581061342410474,0.02940348216493909,0.028518848448151425,0.912,NA
30,3000,500,0.8,0.8,0.05,4.107734777751018,0.032931190654675216,0.03484331639838139,0.9841,NA
30,3000,500,0.8,0.8,0.3,1.5474672454983684,0.05484191445218818,0.054433755146256424,0.9515,NA
30,3000,500,0.8,0.95,0.05,0.8420641870766632,0.018530959403568206,0.018497288426364538,0.95,NA
30,3000,500,0.8,0.95,0.3,0.9310008014600617,0.041210381591983175,0.040818573825191024,0.9463,NA
30,3000,500,0.8,1,0.05,0.9070280759163468,0.012070381298429512,0.01198416509325407,0.9395,NA
30,3000,500,0.8,1,0.3,0.7832415956364007,0.03751652215972991,0.03716426782855598,0.9424,NA
30,3000,5000,0.8,0.8,0.05,1.6578232193516922,0.0170579018128956,0.016968249947745147,0.9607,NA
30,3000,5000,0.8,0.8,0.3,1.6492336575293736,0.04376298197625424,0.04160664064269646,0.9212,NA
