n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
30,300,500,0.8,0.8,0.05,-17.762293596049958,9.10208877625991,0,0,1000,1000
30,300,500,0.8,0.8,0.3,-39.17138954625286,1.4727037669548342,0,0,1000,NA
30,300,500,0.8,0.95,0.05,-29.493497279727816,-0.8492102314149874,0,0,1000,NA
30,300,500,0.8,0.95,0.3,-39.48416483909096,0.5226830242195021,0,0,1000,NA
30,300,500,0.8,1,0.05,-28.805962259691714,1.8792081507621738,0,0,1000,NA
30,300,500,0.8,1,0.3,-39.45221708067178,0.8033462914609676,0,0,1000,NA
30,300,5000,0.8,0.8,0.05,-21.28057317151936,5.2467260990144,0,0,1000,NA
30,300,5000,0.8,0.8,0.3,-39.549528107614364,1.2297241085835373,0,0,1000,NA
30,300,5000,0.8,0.95,0.05,-28.670969962219697,1.0931003480902228,0,0,1000,NA
30,300,5000,0.8,0.95,0.3,-39.48224369509928,0.9618840434227893,0,0,1000,NA
30,300,5000,0.8,1,0.05,-29.33913750746793,1.1470734594673793,0,0,1000,NA
30,300,5000,0.8,1,0.3,-39.53020331974111,0.7537956442779289,0,0,1000,NA
30,300,20000,0.8,0.8,0.05,-23.85978975550991,1.9477705717470817,0,0,1000,NA
30,300,20000,0.8,0.8,0.3,-40.05664056990445,0.7188788157585687,0,0,1000,NA
30,300,20000,0.8,0.95,0.05,-28.625508348596174,1.402431723579567,0,0,1000,NA
30,300,20000,0.8,0.95,0.3,-39.76610003605661,0.7166932582656587,0,0,1000,NA
30,300,20000,0.8,1,0.05,-28.894512281949847,1.6659936283734826,0,0,1000,NA
30,300,20000,0.8,1,0.3,-39.44192363105488,0.8761259319971515,0,0,1000,NA
30,3000,500,0.8,0.8,0.05,-20.015674433137523,9.259488821115907,0,0,1000,NA
30,3000,500,0.8,0.8,0.3,-39.24203119817975,1.28998101270598,0,0,1000,NA
30,3000,500,0.8,0.95,0.05,-29.17844770437382,1.568007713064992,0,0,1000,NA
30,3000,500,0.8,0.95,0.3,-39.46571347842587,0.6441823624602957,0,0,1000,NA
30,3000,500,0.8,1,0.05,-28.648264197671438,1.66660227093611,0,0,1000,NA
