n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
30,300,500,0.8,0.8,0.05,-17.61378239,0.038568941,0.050031925,0.9875,9.724068034,0.046125264,0.055949496,0.9789,0,0,10000,10000
30,300,500,0.8,0.8,0.3,-39.71337943,0.053879387,0.053355264,0.3694,0.883087061,0.067548525,0.066826131,0.9592,0,0,10000,NA
30,300,500,0.8,0.95,0.05,-28.12010811,0.022148913,0.023275881,0.9302,1.379095368,0.027704883,0.028144959,0.965,0,0,10000,NA
30,300,500,0.8,0.95,0.3,-39.39178149,0.032783071,0.032848906,0.104,1.105170385,0.047997333,0.048053773,0.9537,0,0,10000,NA
30,300,500,0.8,1,0.05,-29.05478305,0.009996629,0.009846492,0.611,1.404879064,0.016628714,0.016126876,0.9219,0,0,10000,NA
30,300,500,0.8,1,0.3,-39.67746791,0.026148062,0.026049805,0.0423,0.591387074,0.042912715,0.042756232,0.9476,0,0,10000,NA
30,300,5000,0.8,0.8,0.05,-22.96179809,0.032072662,0.03983046,0.9881,3.192933196,0.035442037,0.040341255,0.9688,0,0,10000,NA
30,300,5000,0.8,0.8,0.3,-39.35361163,0.041305174,0.04150237,0.2068,1.314362562,0.050975139,0.049978941,0.9543,0,0,10000,NA
30,300,5000,0.8,0.95,0.05,-29.32405449,0.017192183,0.017551347,0.9019,0.5453634,0.018586586,0.018403366,0.9516,0,0,10000,NA
30,300,5000,0.8,0.95,0.3,-39.44732308,0.024483774,0.02422721,0.0311,0.982791995,0.034965029,0.0344988,0.937,0,0,10000,NA
30,300,5000,0.8,1,0.05,-29.49961259,0.004542144,0.004416397,0.1574,0.688786776,0.00701648,0.006820219,0.9393,0,0,10000,NA
30,300,5000,0.8,1,0.3,-39.47020882,0.018790223,0.018031901,0.0125,0.866163447,0.031079237,0.029939195,0.9236,0,0,10000,NA
30,300,20000,0.8,0.8,0.05,-23.42467726,0.0316215,0.038779948,0.9879,2.699935379,0.034551563,0.038672666,0.9676,0,0,10000,NA
