n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,n_sims
40,250,2500,0.8,0.8,0.010018806684180577,104.29986397883432,128.04730507663228,125.98463528361737,0,0,0,49,1000
40,250,2500,0.8,0.8,0.01999634446271763,16.871996982046603,40.26946778604289,42.42901652916507,0,0,0,51,NA
40,250,2500,0.8,0.8,0.030009523093455007,-0.4036781062571845,24.615927566991854,28.231888107089645,0,0,0,59,NA
40,250,2500,0.8,0.8,0.03994759246720032,-9.76133819408281,18.162141200150373,21.116547174872842,0,0,0,59,NA
40,250,2500,0.8,0.8,0.05000000238954469,-21.93817324452547,5.11104057982392,7.985333310723125,0,0,0,68,NA
40,250,2500,0.8,0.8,0.06025981645108948,-22.950059999232526,5.644270547689741,9.116283111871214,0,0,0,54,NA
40,250,2500,0.8,0.8,0.07008794667454693,-32.03503060860088,-3.1944145476538752,0.2240335787054588,0,0,0,63,NA
40,250,2500,0.8,0.8,0.07921247905807373,-30.099617098518852,-0.729244287367818,3.465293236157193,0,0,0,66,NA
40,250,2500,0.8,0.8,0.09003243241758835,-30.63887595161795,-0.9405325682875904,2.415889984888103,0,0,0,61,NA
40,250,2500,0.8,0.8,0.09971693078917263,-30.51527480895601,-0.10508644225275417,2.5906514328923524,0,0,0,46,NA
40,250,2500,0.8,0.8,0.11016125111218047,-27.72562650433715,2.626646767148557,5.931403066438406,0,0,0,50,NA
40,250,2500,0.8,0.8,0.12050272654685983,-30.62435412978992,-0.8072221196264513,2.1036642596560506,0,0,0,54,NA
40,250,2500,0.8,0.8,0.12952923904899236,-28.702258205133305,1.3937683021168785,4.085712001005872,0,0,0,60,NA
40,250,2500,0.8,0.8,0.13962443590379064,-30.968756764740235,-1.015022850285716,1.620507924044686,0,0,0,60,NA
40,250,2500,0.8,0.8,0.14916116627309708,-29.324982139277832,0.31654666143253585,2.5319992876608683,0,0,0,68,NA
40,250,2500,0.8,0.8,0.1597866652405128,-29.316292076343007,-0.3233848275267417,1.921935392350838,0,0,0,69,NA
40,250,2500,0.8,0.8,0.16969275235299386,-27.366328252994336,1.6827924543564825,3.68233208611404,0,0,0,53,NA
