n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,covers_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.010018806684180577,0.801175,0.799448,0.2039608,0.026793792204580745,0.045112607437705544,0.966,0.03358939338585797,0.046510700089811785,0.957,0.028807660122599468,0.04496605919418718,0.951,0,942,0,0,99.46099919730831,191.2039159123064,125.56521996786459
40,250,2500,0.8,0.8,0.01999634446271763,0.80175,0.80064,0.2083524,0.029030401374741357,0.044606955427950123,0.976,0.0346282021528715,0.04668671819221928,0.963,0.031810855953276235,0.04433360530640497,0.955,0,946,0,0,27.401708447172116,58.39276144265544,54.16100398412779
40,250,2500,0.8,0.8,0.030009523093455007,0.7987,0.798948,0.2119508,0.029962184376987794,0.044909289876414536,0.982,0.03371131381010765,0.044667702356570305,0.969,0.03370400984977267,0.04451913612301103,0.955,0,940,0,0,-7.853611393185071,21.15405526339631,19.675416664158814
40,250,2500,0.8,0.8,0.03994759246720032,0.80065,0.801072,0.2162424,0.03408257409655637,0.04417648341372735,0.972,0.04579763629942914,0.04590814443803655,0.948,0.03868396244926926,0.04358595856674813,0.938,0,942,0,0,-11.727596554481199,17.63392553465302,18.771511502957075
40,250,2500,0.8,0.8,0.05000000238954469,0.79995,0.799072,0.2205392,0.03474153842340589,0.044381600537682454,0.985,0.04257607463622898,0.04551169195290948,0.971,0.039439492707996175,0.043649155995409,0.954,0,943,0,0,-22.64477413629506,1.4785091587675008,8.006539285940704
40,250,2500,0.8,0.8,0.06025981645108948,0.795075,0.799632,0.2248428,0.03642979455268301,0.04442082434334231,0.994,0.037726317789800734,0.045689586222845746,0.968,0.041411896187702184,0.04350596362078048,0.945,0,947,0,0,-25.87366771811936,-6.1512084585252325,6.8129574366000085
40,250,2500,0.8,0.8,0.07008794667454693,0.800325,0.8001480000000001,0.2290676,0.038217896053320655,0.043762475396103964,0.995,0.04234808724649407,0.044928884256679444,0.972,0.042226749747721976,0.0426630327730825,0.95,0,949,0,0,-26.96141082541214,9.695542808778505,5.791291014886838
40,250,2500,0.8,0.8,0.07921247905807373,0.7998,0.8010280000000001,0.2325648,0.03863583573170856,0.04352558329712163,0.991,0.03985058243623095,0.04439940872953694,0.966,0.04195290862446653,0.04225382376526069,0.947,0,934,0,0,-27.532429039801166,-7.9363331493521665,5.529304126334571
40,250,2500,0.8,0.8,0.09003243241758835,0.801225,0.7999040000000001,0.237174,0.038726231395492514,0.043423976724918045,0.982,0.036725322341158446,0.04571972686571658,0.972,0.04333766238077369,0.04195932366370777,0.946,0,934,0,0,-29.983472756457605,-10.370537494341576,2.7303069147827115
40,250,2500,0.8,0.8,0.09971693078917263,0.797225,0.800064,0.241362,0.03961889263267404,0.04358463903495756,0.95,0.04094075715351138,0.0437240469143866,0.969,0.04235772669512445,0.04186605616812016,0.944,0,933,0,0,-30.020474277605786,3.5065376954379883,3.3116126331788798
40,250,2500,0.8,0.8,0.11016125111218047,0.800325,0.799748,0.2462092,0.0413819594175519,0.04332341763031394,0.921,0.04188516721714356,0.04462969989040653,0.966,0.04426735751793956,0.04132729001243067,0.937,0,940,0,0,-30.303546046164445,-12.62576111544152,2.930397319904301
40,250,2500,0.8,0.8,0.12050272654685983,0.798,0.798628,0.250818,0.04300370332851673,0.043693492878198244,0.892,0.046333187155831734,0.04512264741416863,0.954,0.045958488143591485,0.041399164808950305,0.912,0,937,0,0,-31.206586558407974,0.8402288422551835,1.9243424940738014
