n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi
30,30,500,0.7,0.7,0.005,-2006.8717948717938
30,30,500,0.7,0.7,0.05,-244.76421356421335
30,30,500,0.7,0.7,0.3,-63.634920634920654
30,30,500,0.7,0.95,0.005,-165.98692810457462
30,30,500,0.7,0.95,0.05,36.60275689223064
30,30,500,0.7,0.95,0.3,5.588045288045315
30,30,500,0.95,0.7,0.005,-810.989648033126
30,30,500,0.95,0.7,0.05,-86.06608187134479
30,30,500,0.95,0.7,0.3,-2.1793372319687996
30,30,500,0.95,0.95,0.005,160.98887064404335
30,30,500,0.95,0.95,0.05,-41.874806674806685
30,30,500,0.95,0.95,0.3,-1.1472663139329895
30,30,5000,0.7,0.7,0.005,-330.768253968253
30,30,5000,0.7,0.7,0.05,-278.0014141414143
30,30,5000,0.7,0.7,0.3,-7.477883597883614
30,30,5000,0.7,0.95,0.005,63.824561403509314
30,30,5000,0.7,0.95,0.05,-37.647968253968166
30,30,5000,0.7,0.95,0.3,5.479876385336776
30,30,5000,0.95,0.7,0.005,-1767.366750208854
30,30,5000,0.95,0.7,0.05,-135.15904583593388
30,30,5000,0.95,0.7,0.3,2.048120300751873
30,30,5000,0.95,0.95,0.005,-279.4208384208384
30,30,5000,0.95,0.95,0.05,32.75259259259253
30,30,5000,0.95,0.95,0.3,7.508078312492117
30,300,500,0.7,0.7,0.005,-24.782180305767152
30,300,500,0.7,0.7,0.05,-27.100260145500226
30,300,500,0.7,0.7,0.3,7.680266373411497
30,300,500,0.7,0.95,0.005,-174.3012451463334
30,300,500,0.7,0.95,0.05,-28.173205680821685
30,300,500,0.7,0.95,0.3,1.8713627336271466
30,300,500,0.95,0.7,0.005,-406.74123476118353
30,300,500,0.95,0.7,0.05,20.738736315781576
30,300,500,0.95,0.7,0.3,13.013524880191586
30,300,500,0.95,0.95,0.005,104.74766539435602
30,300,500,0.95,0.95,0.05,11.38539665770892
30,300,500,0.95,0.95,0.3,-3.313270835444748
30,300,5000,0.7,0.7,0.005,-633.8661969720594
30,300,5000,0.7,0.7,0.05,68.31614987913444
30,300,5000,0.7,0.7,0.3,11.616780518501958
30,300,5000,0.7,0.95,0.005,-393.89051248524765
30,300,5000,0.7,0.95,0.05,-1.8888641969556919
30,300,5000,0.7,0.95,0.3,11.639849860594168
30,300,5000,0.95,0.7,0.005,-174.88160255706276
30,300,5000,0.95,0.7,0.05,-68.63678522219227
30,300,5000,0.95,0.7,0.3,11.080368176398329
30,300,5000,0.95,0.95,0.005,175.7028172351538
30,300,5000,0.95,0.95,0.05,-13.346515167474259
30,300,5000,0.95,0.95,0.3,-0.5476912950103293
300,30,500,0.7,0.7,0.005,-280.7121868618935
300,30,500,0.7,0.7,0.05,154.0538376511419
300,30,500,0.7,0.7,0.3,18.02390369236991
300,30,500,0.7,0.95,0.005,402.0912175833011
300,30,500,0.7,0.95,0.05,-136.6904328803531
300,30,500,0.7,0.95,0.3,-3.0918529743731256
300,30,500,0.95,0.7,0.005,-1567.4010160311514
300,30,500,0.95,0.7,0.05,-173.12410027847463
300,30,500,0.95,0.7,0.3,14.300744088932191
300,30,500,0.95,0.95,0.005,-299.8315910024868
300,30,500,0.95,0.95,0.05,5.620080968132906
300,30,500,0.95,0.95,0.3,-5.7858814733377875
300,30,5000,0.7,0.7,0.005,-400.77122040665853
300,30,5000,0.7,0.7,0.05,143.52014993503417
300,30,5000,0.7,0.7,0.3,-5.796468571342251
300,30,5000,0.7,0.95,0.005,50.54695852461379
300,30,5000,0.7,0.95,0.05,-9.613119643032976
300,30,5000,0.7,0.95,0.3,-6.934910693569902
300,30,5000,0.95,0.7,0.005,-664.6433783976212
300,30,5000,0.95,0.7,0.05,59.75463703823133
300,30,5000,0.95,0.7,0.3,9.53228367321929
300,30,5000,0.95,0.95,0.005,350.9223661757411
300,30,5000,0.95,0.95,0.05,50.54959654533481
300,30,5000,0.95,0.95,0.3,-2.054343282198094
300,300,500,0.7,0.7,0.005,116.96932280046958
300,300,500,0.7,0.7,0.05,-144.89710986293247
300,300,500,0.7,0.7,0.3,-1.7881633009878921
300,300,500,0.7,0.95,0.005,-136.80289832375774
300,300,500,0.7,0.95,0.05,17.1182505437302
300,300,500,0.7,0.95,0.3,-10.103535670757207
300,300,500,0.95,0.7,0.005,-388.9452304314092
300,300,500,0.95,0.7,0.05,72.29566238444626
300,300,500,0.95,0.7,0.3,-6.51546110801593
300,300,500,0.95,0.95,0.005,-155.33871179971788
300,300,500,0.95,0.95,0.05,12.383891613706052
300,300,500,0.95,0.95,0.3,-1.7499487714404314
300,300,5000,0.7,0.7,0.005,-810.4714938263331
300,300,5000,0.7,0.7,0.05,-36.516082055101165
300,300,5000,0.7,0.7,0.3,12.410192568924264
300,300,5000,0.7,0.95,0.005,37.789888487867444
300,300,5000,0.7,0.95,0.05,6.111892408603561
300,300,5000,0.7,0.95,0.3,-2.213470402174178
300,300,5000,0.95,0.7,0.005,174.1737282387943
300,300,5000,0.95,0.7,0.05,-21.113085566161008
300,300,5000,0.95,0.7,0.3,13.521580159186291
300,300,5000,0.95,0.95,0.005,-253.09895689487263
300,300,5000,0.95,0.95,0.05,-2.650913772616822
300,300,5000,0.95,0.95,0.3,0.825953027434397
