n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full
40,250,2500,0.8,0.8,0.005,276.37804730662026,0.025507449591846924,0.04538261566425695,0.952,295.45891508925797,0.02629891976700939,0.04652060009715219,0.951,0,0,1000
40,250,2500,0.8,0.8,0.01,98.7998707711262,0.026777633253056068,0.04539654554656478,0.954,119.1060535615037,0.028279014424821714,0.04648929477047122,0.952,0,0,1000
40,250,2500,0.8,0.8,0.015,58.09348155998696,0.02841446268800829,0.04489914865616434,0.952,82.42709608165879,0.03068813961168487,0.04597837838022662,0.948,0,0,1000
40,250,2500,0.8,0.8,0.02,33.78404591878943,0.02929216765583325,0.04459719420870151,0.957,56.031389166869225,0.031551528157023286,0.04565123852157452,0.958,0,0,1000
40,250,2500,0.8,0.8,0.025,9.670660782536379,0.03085517710718763,0.04463542795017787,0.95,31.902978848602714,0.03352717100857343,0.04565909666697049,0.95,0,0,1000
40,250,2500,0.8,0.8,0.030000000000000002,3.2140881088788795,0.03160889141805522,0.0441663811894393,0.969,28.262265107321717,0.03541608017990461,0.04521250221424943,0.95,0,0,1000
40,250,2500,0.8,0.8,0.034999999999999996,-14.395936458363915,0.03270514798499375,0.04492301893395478,0.954,8.384064201579521,0.036387348350036514,0.04592183192837707,0.95,0,0,1000
40,250,2500,0.8,0.8,0.04,-16.881096377731815,0.03230665513239681,0.044333709641560554,0.955,7.13076147684448,0.03623930992814944,0.045356757628634434,0.95,0,0,1000
40,250,2500,0.8,0.8,0.045,-18.547716573093048,0.03301891241803216,0.04417294557783382,0.961,6.178522055048267,0.03706584775816351,0.04517926582587866,0.956,0,0,1000
40,250,2500,0.8,0.8,0.049999999999999996,-20.551838752469994,0.034976430374181446,0.04438122239591978,0.949,3.982818790719878,0.03873769932258177,0.04541088178903727,0.96,0,0,1000
40,250,2500,0.8,0.8,0.055,-19.19099055749014,0.03551315609798348,0.04390209129186883,0.958,7.233359102144522,0.039566303082961746,0.04495148058391056,0.953,0,0,1000
40,250,2500,0.8,0.8,0.06,-24.665651122166057,0.038204311160813596,0.043896546827382865,0.95,0.5541110192090748,0.042897007418154914,0.044934277869645135,0.947,0,0,1000
40,250,2500,0.8,0.8,0.065,-23.510775795865598,0.036800469967769374,0.04369638831243202,0.958,4.11912780500025,0.04049614458406251,0.04474973698695885,0.959,0,0,1000
40,250,2500,0.8,0.8,0.07,-29.357931371742403,0.03697153756988959,0.04420416382463488,0.947,-1.1443719240219632,0.041293061325515,0.04525024278319642,0.959,0,0,1000
40,250,2500,0.8,0.8,0.07500000000000001,-27.398974327959074,0.03917652067250558,0.043911825220958545,0.941,1.1837939321069542,0.042778241483958264,0.0450009784365888,0.945,0,0,1000
40,250,2500,0.8,0.8,0.08,-28.574435018327335,0.039247090647688034,0.04357759226691258,0.94,-0.5129351120819643,0.04326475737204451,0.044685625294312886,0.959,0,0,1000
40,250,2500,0.8,0.8,0.085,-25.614713377945336,0.03907942232403733,0.04331758640068688,0.942,3.0287892604288276,0.04250632450770469,0.044476595203152725,0.95,0,0,1000
