n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.005041882985044867,0.7995,0.799268,0.2007484,0.024560738744211733,0.04557031043342331,0.958,0.04211072396914038,0.049435688746440554,0.846,0.04729937182065471,0.07663451657066651,0.94,0,0,0,0,240.22833308928662,459.4394552220844,552.7062543042327
40,250,2500,0.8,0.8,0.010018161585073128,0.797525,0.801408,0.2007916,0.02530991471893746,0.04517232693959579,0.967,0.045461638817338064,0.048900801869546796,0.812,0.05151433478716936,0.07705398042877959,0.93,0,0,0,0,90.37235355511694,235.20196313126718,289.40824959326716
40,250,2500,0.8,0.8,0.015481193873804373,0.802325,0.800524,0.201416,0.025260889046053985,0.04491523978606461,0.959,0.045877179808502123,0.04858116092308226,0.848,0.05402482674791273,0.07681580600194028,0.947,0,0,0,0,20.0192719786939,115.76284609171006,153.52602552050246
40,250,2500,0.8,0.8,0.020030479069638986,0.796175,0.801216,0.2024844,0.026219628188865484,0.045149953308061104,0.963,0.045744733604238454,0.048815052420472356,0.85,0.055464914140729286,0.07766275167481528,0.932,0,0,0,0,0.7296449442288426,81.84688631413827,114.85068766615379
40,250,2500,0.8,0.8,0.02606877557784691,0.802875,0.799292,0.2023856,0.025419010858603364,0.045036034751548555,0.953,0.048586525153145876,0.04876111776008818,0.83,0.058670809628726825,0.07856872148344088,0.945,0,0,0,0,-31.002282867766354,43.89381489208469,82.61951617660117
40,250,2500,0.8,0.8,0.02996476845452988,0.797775,0.800056,0.2032656,0.02601801021444672,0.04528314950150422,0.945,0.05049770861733509,0.04898641019988586,0.849,0.05922158138105645,0.07895027145559712,0.948,0,0,0,0,-33.739398292864266,40.568298864066065,68.58977247838985
40,250,2500,0.8,0.8,0.03502411440330111,0.801775,0.8016920000000001,0.2033756,0.028254997055285714,0.04460104278099838,0.932,0.05229206431360538,0.04827714800432933,0.82,0.05929601259289559,0.07831392737638165,0.933,0,0,0,0,-36.000194175253434,31.074070460323686,53.93736189192066
40,250,2500,0.8,0.8,0.040847328814795685,0.799675,0.7993560000000001,0.2041888,0.025749446570823693,0.0452667087225956,0.923,0.051368828550690485,0.04905530312934169,0.816,0.06201254442679907,0.07941026354047172,0.935,0,0,0,0,-50.3121923938638,9.265330872472699,37.22978698841104
40,250,2500,0.8,0.8,0.04506256806371308,0.801575,0.7995720000000001,0.2045388,0.026772780670158442,0.0451029163875789,0.906,0.05235131556134542,0.04856842215213161,0.815,0.06370924705690444,0.0800737762462067,0.935,0,0,0,0,-53.70204980915127,7.758578197342007,34.503261446230574
40,250,2500,0.8,0.8,0.05009422135714624,0.8029,0.7997960000000001,0.204822,0.02679545945356373,0.04489017680169592,0.885,0.05488737369415702,0.04843590228499828,0.825,0.0666083126114243,0.08015897131794027,0.944,0,0,0,0,-57.6179093659254,2.7991367446285564,29.97780953287436
40,250,2500,0.8,0.8,0.05560725427592952,0.79865,0.8000200000000001,0.2055888,0.02861444052137865,0.04506434153207553,0.863,0.05565376455792315,0.04860618857772422,0.826,0.06696762595319153,0.08090104075905881,0.945,0,0,0,0,-59.449734782563745,-1.0530631681263334,24.258153541058086
40,250,2500,0.8,0.8,0.06007565651491278,0.798425,0.8006920000000001,0.2060348,0.028379036924812744,0.04498160156621126,0.841,0.055742779235232194,0.04868257838679857,0.819,0.06740815169214474,0.0809175716201432,0.933,0,0,0,0,-60.85428457430366,-8.586518198976798,15.770346348705305
40,250,2500,0.8,0.8,0.06429842960283062,0.797225,0.79978,0.2067956,0.02884669204872923,0.04517247294226218,0.813,0.06068349402707367,0.04872657894384815,0.799,0.07002557635887689,0.0816335191473623,0.943,0,0,0,0,-63.29761746237612,-5.578875407111182,13.922836598144373
40,250,2500,0.8,0.8,0.06992151963279372,0.80215,0.800772,0.207128,0.028891516782654357,0.044596673279689455,0.788,0.0593020822784455,0.04828109975706464,0.814,0.06928096230738916,0.08130033588974478,0.939,0,0,0,0,-64.48731218335429,-7.1634638504673775,13.180928316396013
40,250,2500,0.8,0.8,0.07501232571151686,0.79915,0.80038,0.20784,0.027638594743794237,0.04481082253219595,0.766,0.061919480267717264,0.048525479853479915,0.802,0.07204223068547722,0.08231610131435309,0.942,0,0,0,0,-68.51366296586548,-10.514513901099473,11.596705876809965
40,250,2500,0.8,0.8,0.08039777467777835,0.799725,0.800736,0.208796,0.029927701643064006,0.04466001380324703,0.727,0.062323736288802195,0.04850322938864144,0.789,0.07525063095498725,0.08284173149202322,0.946,0,0,0,0,-67.62384133030831,-10.933957636993304,13.156113029407736
40,250,2500,0.8,0.8,0.08574217733555282,0.796575,0.7995720000000001,0.2092256,0.028254112267220226,0.04505545411821753,0.681,0.06397945202410792,0.048813523775386794,0.782,0.07589369050201161,0.083185330643753,0.945,0,0,0,0,-71.19946395774245,-12.34474474853671,8.53385134214053
40,250,2500,0.8,0.8,0.09208103384099875,0.8002,0.800428,0.2102328,0.029084118043697024,0.04462135411026065,0.633,0.06275614340258552,0.04821476997402957,0.796,0.07598446313906823,0.08341985409553103,0.942,0,0,0,0,-70.77428905431972,-13.802419981051107,8.220847004868295
40,250,2500,0.8,0.8,0.09575424482068377,0.79965,0.799776,0.2105152,0.030534275533348722,0.04479829268698948,0.573,0.065748507376376,0.048680113633466963,0.787,0.07516628991462959,0.08312465085069866,0.953,0,0,0,0,-72.19943169396754,-14.063422054333259,7.627253129500296
40,250,2500,0.8,0.8,0.09953694033611322,0.800325,0.799488,0.2109356,0.029871266380717573,0.04485880743638768,0.539,0.06648786674106659,0.048683076169187996,0.783,0.07854427246866351,0.08357717828881149,0.938,0,0,0,0,-72.96933380164101,-16.195922944468247,6.229657311112754
40,250,2500,0.8,0.8,0.10422175634263674,0.7989,0.7992600000000001,0.2118356,0.030176251471653703,0.04477324573536994,0.514,0.06749097529252697,0.04863503085246804,0.773,0.07915931278807693,0.08384766496189379,0.941,0,0,0,0,-73.44467441271846,-18.581600198244075,4.109651205715404
40,250,2500,0.8,0.8,0.10906635020616497,0.79805,0.799196,0.2127972,0.03176753980743941,0.04493379763974979,0.483,0.06690138376078882,0.04869580759673159,0.775,0.07804863112903807,0.08476840444526228,0.953,0,0,0,0,-72.8698478670875,-16.500463899365304,5.79066784735512
40,250,2500,0.8,0.8,0.11322608666585407,0.799625,0.7997000000000001,0.2129456,0.03031905291011246,0.044680579345042215,0.416,0.06758196130270809,0.04873849667730193,0.784,0.08057217654685779,0.08460705541407566,0.933,0,0,0,0,-74.0671244695947,-16.63110444308453,6.482964848062433
40,250,2500,0.8,0.8,0.1174975152584889,0.80205,0.80154,0.2129712,0.031466249633014934,0.04411724313019995,0.406,0.0706218058177902,0.04793866458698281,0.752,0.0835237919019547,0.08397251059386339,0.927,0,0,0,0,-73.0265155252346,-15.769635248077778,5.467813055992574
40,250,2500,0.8,0.8,0.12366526732079999,0.800575,0.800068,0.2139208,0.030709696028823643,0.044492620252257635,0.331,0.0690699894562254,0.04857532483742971,0.765,0.08067965987194359,0.08455498426555842,0.945,0,0,0,0,-75.11317875219943,-20.10638316677156,1.6582430724113646
40,250,2500,0.8,0.8,0.12912600618985903,0.8013,0.80108,0.2153108,0.033309377775849934,0.04407894588062877,0.326,0.07068564858396952,0.04811025168494109,0.76,0.08316541155928456,0.08464604060121378,0.936,0,0,0,0,-73.76949862654547,-17.94980766478645,4.793557537088479
