n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi
30,30,500,0.7,0.7,0.005,1401.261318854282
30,30,500,0.7,0.7,0.05,103.31999291914332
30,30,500,0.7,0.7,0.3,-2.076768310602754
30,30,500,0.7,0.95,0.005,436.8506354572492
30,30,500,0.7,0.95,0.05,15.537172588085042
30,30,500,0.7,0.95,0.3,0.5883097914603324
30,30,500,0.7,1,0.005,1.5295311171249943
30,30,500,0.7,1,0.05,1.503816484021661
30,30,500,0.7,1,0.3,1.4548335650630961
30,30,500,0.95,0.7,0.005,884.0408852654707
30,30,500,0.95,0.7,0.05,48.08494858829307
30,30,500,0.95,0.7,0.3,-3.4837167600233476
30,30,500,0.95,0.95,0.005,308.31666252860896
30,30,500,0.95,0.95,0.05,6.652018662716668
30,30,500,0.95,0.95,0.3,-0.23179389882382884
30,30,500,0.95,1,0.005,0.702087961946523
30,30,500,0.95,1,0.05,-0.05153613607107588
30,30,500,0.95,1,0.3,0.3277237888076878
30,30,500,1,0.7,0.005,821.9594899096579
30,30,500,1,0.7,0.05,41.47694835436835
30,30,500,1,0.7,0.3,-3.3641559520922923
30,30,500,1,0.95,0.005,289.4417339901476
30,30,500,1,0.95,0.05,5.6368822870616615
30,30,500,1,0.95,0.3,-0.35885147299365616
30,30,500,1,1,0.005,-0.02399999999990951
30,30,500,1,1,0.05,-0.26159999999991745
30,30,500,1,1,0.3,-0.08773333333332116
30,30,5000,0.7,0.7,0.005,1283.1890367717776
30,30,5000,0.7,0.7,0.05,89.52634237168725
30,30,5000,0.7,0.7,0.3,-2.879441518775061
30,30,5000,0.7,0.95,0.005,441.1696085236419
30,30,5000,0.7,0.95,0.05,15.505632571403318
30,30,5000,0.7,0.95,0.3,0.8255541972557919
30,30,5000,0.7,1,0.005,1.4645109526383038
30,30,5000,0.7,1,0.05,1.7816060201042427
30,30,5000,0.7,1,0.3,1.7589205266455208
30,30,5000,0.95,0.7,0.005,850.4907374808012
30,30,5000,0.95,0.7,0.05,43.95041686944531
30,30,5000,0.95,0.7,0.3,-3.318501108269367
30,30,5000,0.95,0.95,0.005,312.9961388467992
30,30,5000,0.95,0.95,0.05,6.07110631928158
30,30,5000,0.95,0.95,0.3,-0.27453805845299256
30,30,5000,0.95,1,0.005,-0.07784633946779015
30,30,5000,0.95,1,0.05,0.20873271882174138
30,30,5000,0.95,1,0.3,0.21469825709378537
30,30,5000,1,0.7,0.005,783.7800381452398
30,30,5000,1,0.7,0.05,41.57702135855751
30,30,5000,1,0.7,0.3,-3.210026798443659
30,30,5000,1,0.95,0.005,278.8801931034483
30,30,5000,1,0.95,0.05,2.9608884291187767
30,30,5000,1,0.95,0.3,-0.30840719413370116
30,30,5000,1,1,0.005,0.13359999999983108
30,30,5000,1,1,0.05,0.007279999999998399
30,30,5000,1,1,0.3,0.01990666666666178
30,30,20000,0.7,0.7,0.005,1362.008262951558
30,30,20000,0.7,0.7,0.05,89.18296724760634
30,30,20000,0.7,0.7,0.3,-2.5784361279038532
30,30,20000,0.7,0.95,0.005,434.32024633669283
30,30,20000,0.7,0.95,0.05,14.957722480750821
30,30,20000,0.7,0.95,0.3,0.8856644489391534
30,30,20000,0.7,1,0.005,1.4572736980370848
30,30,20000,0.7,1,0.05,1.6651335203783229
30,30,20000,0.7,1,0.3,1.525111306636277
30,30,20000,0.95,0.7,0.005,852.0269072375477
30,30,20000,0.95,0.7,0.05,44.770375942190384
30,30,20000,0.95,0.7,0.3,-3.0711118877077745
30,30,20000,0.95,0.95,0.005,300.89853019166236
30,30,20000,0.95,0.95,0.05,5.635481833672782
30,30,20000,0.95,0.95,0.3,-0.3500820647486802
30,30,20000,0.95,1,0.005,-0.08196744870238651
30,30,20000,0.95,1,0.05,0.29937609737229476
30,30,20000,0.95,1,0.3,0.14667050402393061
30,30,20000,1,0.7,0.005,773.6454429560928
30,30,20000,1,0.7,0.05,37.44807200930722
30,30,20000,1,0.7,0.3,-3.2336532162223026
30,30,20000,1,0.95,0.005,281.5887379310344
30,30,20000,1,0.95,0.05,4.132764693486599
30,30,20000,1,0.95,0.3,-0.4859493129249678
30,30,20000,1,1,0.005,0.12920000000001333
30,30,20000,1,1,0.05,-0.007530000000005588
30,30,20000,1,1,0.3,0.006836666666676372
30,300,500,0.7,0.7,0.005,616.4956531113529
30,300,500,0.7,0.7,0.05,27.66976421035344
30,300,500,0.7,0.7,0.3,2.724200676442394
30,300,500,0.7,0.95,0.005,155.9424998536345
30,300,500,0.7,0.95,0.05,1.2441912979661156
30,300,500,0.7,0.95,0.3,1.8446239894119865
30,300,500,0.7,1,0.005,1.2733692215477141
30,300,500,0.7,1,0.05,1.715519958539663
30,300,500,0.7,1,0.3,1.5721246168137193
30,300,500,0.95,0.7,0.005,345.8447608618488
30,300,500,0.95,0.7,0.05,7.246604669459505
30,300,500,0.95,0.7,0.3,0.10848147458451345
30,300,500,0.95,0.95,0.005,92.03021666855335
30,300,500,0.95,0.95,0.05,0.22632008175497986
30,300,500,0.95,0.95,0.3,0.26006934331120524
30,300,500,0.95,1,0.005,-0.4957402672289314
30,300,500,0.95,1,0.05,0.7267266354735596
30,300,500,0.95,1,0.3,0.20739109473901415
30,300,500,1,0.7,0.005,331.5324766294375
