n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi,ESE_hat_pi,ASE_hat_pi,covers_pi
30,30,500,0.95,0.95,0.005,315.14852949349483,0.023040244660704087,0.002217137961962571,0.788
30,30,500,0.95,0.95,0.05,9.967177835702056,0.038045429609858974,0.0022631739996559885,0.752
30,30,500,0.95,0.95,0.3,0.422284343812492,0.039014289459191186,0.001785901861495473,0.962
30,30,500,0.95,1,0.005,-0.3749474127404291,0.003185985034765833,1.0531188551674616e-5,0.904
30,30,500,0.95,1,0.05,0.2814352911457152,0.010184637842593342,1.0524172059039611e-4,0.928
30,30,500,0.95,1,0.3,0.4900702286219638,0.024044940134417322,6.372837467498035e-4,0.964
30,30,5000,0.95,0.95,0.005,318.0075270306238,0.0221810105386012,0.0022727137389907293,0.782
30,30,5000,0.95,0.95,0.05,10.912137720907573,0.03504335070312365,0.0019702176068780793,0.758
30,30,5000,0.95,0.95,0.3,-0.3712760214509096,0.03729635201161246,0.0014416058369207784,0.84
30,30,5000,0.95,1,0.005,0.329552406214198,0.0010796832572972249,1.1032397373670532e-6,0.932
30,30,5000,0.95,1,0.05,0.24780165550922217,0.004017497522527086,1.5170194132862733e-5,0.938
30,30,5000,0.95,1,0.3,0.5902228377752488,0.014917182833850037,2.320654964307676e-4,0.86
30,300,500,0.95,0.95,0.005,115.79514319882844,0.012512051400287025,3.279067601317461e-4,0.97
30,300,500,0.95,0.95,0.05,2.562802621885046,0.020228637309946708,4.0065803532224337e-4,0.95
30,300,500,0.95,0.95,0.3,0.4424806839435358,0.02792684888929365,8.446493642341016e-4,0.958
30,300,500,0.95,1,0.005,0.7174357290220222,0.0033223382993329653,1.0607156541614508e-5,0.892
30,300,500,0.95,1,0.05,1.0697226053640734,0.01039721833008723,1.0710452236760963e-4,0.936
30,300,500,0.95,1,0.3,0.28355879191053573,0.024831722117024307,6.219913278493757e-4,0.956
30,300,5000,0.95,0.95,0.005,77.70500690658632,0.009763397574395913,2.0588204427132134e-4,0.938
30,300,5000,0.95,0.95,0.05,0.4463687479853984,0.014921120283669346,2.06927772273025e-4,0.938
30,300,5000,0.95,0.95,0.3,-0.0840025480344601,0.01898692047056329,3.495961998962751e-4,0.932
30,300,5000,0.95,1,0.005,0.7330705233462437,0.0010402650965610403,1.1095779173425943e-6,0.952
30,300,5000,0.95,1,0.05,0.04167466142385168,0.004004392674620942,1.4871013294349466e-5,0.936
30,300,5000,0.95,1,0.3,0.10511689669207014,0.014049205504903283,2.2124975131946722e-4,0.874
30,3000,500,0.95,0.95,0.005,51.518961166970755,0.00888054668335508,1.4727313651132211e-4,0.984
30,3000,500,0.95,0.95,0.05,-0.6583261798264323,0.01446167131102767,2.3461729702943336e-4,0.962
30,3000,500,0.95,0.95,0.3,0.11905382537337936,0.026412281061471782,7.471289844937645e-4,0.952
30,3000,500,0.95,1,0.005,2.372144836006989,0.00326398718662144,1.0818653569502556e-5,0.924
30,3000,500,0.95,1,0.05,0.010569138141638956,0.010350243742794632,1.0611489232745637e-4,0.93
30,3000,500,0.95,1,0.3,-0.3576887962612093,0.02547296796859303,6.155530188383799e-4,0.936
30,3000,5000,0.95,0.95,0.005,9.281577074223332,0.004696535074905316,3.227265551510263e-5,0.984
30,3000,5000,0.95,0.95,0.05,-0.3378897081790372,0.006726273965895418,4.460916089723143e-5,0.954
30,3000,5000,0.95,0.95,0.3,0.1676457386436218,0.01558141599746491,2.6116273670851787e-4,0.88
30,3000,5000,0.95,1,0.005,-0.16758271926311727,0.0010712602979345265,1.1004883674121964e-6,0.93
30,3000,5000,0.95,1,0.05,-0.43331066312998767,0.0038705061312568974,1.4723135580020558e-5,0.946
30,3000,5000,0.95,1,0.3,0.42753269223751633,0.01457166777239539,2.2931793307364072e-4,0.86
300,30,500,0.95,0.95,0.005,296.34418720304944,0.02332942758235337,0.0024073086158939113,0.782
300,30,500,0.95,0.95,0.05,2.5579353102468394,0.03559171731941729,0.0022759858301667152,0.812
300,30,500,0.95,0.95,0.3,-0.9152112013580127,0.04187260321411602,0.001731097167398702,0.904
300,30,500,0.95,1,0.005,0.31959704372789066,0.003086243389885886,1.050110857107675e-5,0.928
300,30,500,0.95,1,0.05,1.0851804773356482,0.01013475284069475,1.0152054975418604e-4,0.948
300,30,500,0.95,1,0.3,-0.15355092849332158,0.02218963522647734,4.6629643254069087e-4,0.936
300,30,5000,0.95,0.95,0.005,311.3724628293542,0.022408193487558487,0.0021260200211919112,0.772
300,30,5000,0.95,0.95,0.05,1.017827025681789,0.03440348289479585,0.0020845579939319753,0.814
300,30,5000,0.95,0.95,0.3,-0.8100636420002028,0.03436482497937194,0.0011779900270325575,0.782
300,30,5000,0.95,1,0.005,-0.8485926067796322,0.0010128878194408221,1.0429441177747423e-6,0.948
300,30,5000,0.95,1,0.05,0.27711973321344063,0.0033094588424816443,1.0501478854614466e-5,0.936
