n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi,ESE_hat_var_pi,ASE_hat_var_pi,covers_pi,hat_pi_st,ESE_hat_var_pi_st,ASE_hat_var_pi_st,covers_pi_st,num_infinite_pi,num_infinite_pi_st,n_strata_obs_full
30,30,500,0.95,0.95,0.05,-53.12169312169301,0.0026958465122578273,0.0035720825586777645,0,-42.75776799960742,0.0025974917313181575,0.00361908026996577,0,0,0,5
30,30,500,0.95,0.95,0.3,-35.84096576050597,3.4114271396755056e-4,0.0013561026503514165,0,-3.055307353461212,2.635732601464111e-4,0.0015609150287774526,0.8,0,0,5
30,30,500,0.95,0.95,0.005,406.5280058383498,5.575146092588571e-4,0.0010764317957440736,0.2,408.41504145913603,5.690359475593049e-4,0.0011352876945118484,0,0,0,5
30,30,500,0.95,1,0.05,-27.860098522167434,1.8651762486037557e-5,7.378047815763617e-5,0,2.683973025867342,4.304730455097116e-5,2.0091631888874078e-4,0.4,0,0,5
30,30,500,0.95,1,0.3,-39.049261083743865,7.041811052496261e-5,3.6618369309301236e-4,0,-1.6079197228728859,1.2618555299288495e-4,8.671810474212167e-4,0,0,0,5
30,30,500,0.95,1,0.005,-8.019704433497465,6.6372776666295835e-6,9.612135702242096e-6,0.6,51.383892438967145,2.2560740933354253e-5,3.418411362550914e-5,0.2,0,0,5
30,30,5000,0.95,0.95,0.05,-61.58901098901098,0.001752163668505414,0.00325382897874657,0,-43.26434874072685,0.0016821118574386787,0.003167229008123464,0,0,0,5
30,30,5000,0.95,0.95,0.3,-36.409298789758566,6.322530154643792e-4,9.268232205997841e-4,0,1.1446091620754273,4.6961989653226813e-4,8.217700759628121e-4,0.6,0,0,5
30,30,5000,0.95,0.95,0.005,98.91777188328938,0.0019372454608509735,0.003057355086688074,0.6,115.87524380640998,0.0019348580707862512,0.003057142428312569,0.6,0,0,5
30,30,5000,0.95,1,0.05,-31.379310344827605,1.1800700594021398e-6,9.532283695690915e-6,0,-1.9750824156185287,3.4420720640556136e-6,2.494312240327292e-5,0,0,0,5
30,30,5000,0.95,1,0.3,-39.127093596059105,4.565529250531513e-5,9.72912859341669e-5,0,0.8020606188963905,1.2813691730098397e-4,2.5533226895548553e-4,0.4,0,0,5
30,30,5000,0.95,1,0.005,-4.433453749316529,2.610650955180174e-7,1.1427801837560333e-6,0,23.791723334022922,6.711993607967906e-7,2.743962191327394e-6,0,0,0,5
30,300,500,0.95,0.95,0.05,6.619909628490627,1.1258648314627881e-4,3.5005005543215954e-4,0,26.330228871122657,1.2378536383843443e-4,5.141674399107393e-4,0,0,0,5
30,300,500,0.95,0.95,0.3,-40.043811614879765,1.3994864267028164e-4,6.287392056392106e-4,0,1.249884552703473,2.166845436034862e-4,0.0011487651389498312,0,0,0,5
30,300,500,0.95,0.95,0.005,107.24083108572617,3.97657211114195e-5,2.651629151584492e-4,0.4,225.7546929819493,1.1578672254681453e-4,3.570071731884352e-4,0.4,0,0,5
30,300,500,0.95,1,0.05,-30.622660098522115,1.7525080370223296e-5,6.918992882166086e-5,0,0.6442086139032271,1.1049557322017984e-4,1.9098471989395825e-4,0,0,0,5
30,300,500,0.95,1,0.3,-43.63678160919543,3.9109013098748636e-5,3.0903913961212014e-4,0,-2.1181883003338715,8.753245835605484e-5,8.150273043361972e-4,0.6,0,0,5
30,300,500,0.95,1,0.005,-50.581280788177295,3.63569088816532e-6,5.0855295759558946e-6,0,-69.3071241100737,1.4803909586585786e-6,1.9630661795330515e-6,0,0,0,5
30,300,5000,0.95,0.95,0.05,-26.1620045510033,6.984843772566272e-5,2.2296546000275758e-4,0,-0.4253755030669687,7.118941096821245e-5,2.409101298574014e-4,0,0,0,5
30,300,5000,0.95,0.95,0.3,-39.46339661583728,1.9265692553087745e-4,2.6197479585307967e-4,0,2.0262089281517888,4.610283591756545e-4,4.2881501969554796e-4,0,0,0,5
30,300,5000,0.95,0.95,0.005,-76.10013175230542,4.643519844112131e-5,2.613660598853483e-4,0.8,-53.35022371747955,4.6991836638552347e-5,2.689965269691342e-4,0.8,0,0,5
30,300,5000,0.95,1,0.05,-32.98758620689651,8.567038637940358e-7,6.787325940317355e-6,0,-6.107574745588067,2.3310639285980874e-6,1.839822667554602e-5,0,0,0,5
30,300,5000,0.95,1,0.3,-39.927619047619054,4.533745107701041e-5,7.159047563615154e-5,0,-1.8174714511888421,1.1931161368665549e-4,1.8152544165586727e-4,0,0,0,5
30,300,5000,0.95,1,0.005,-22.49564228874461,4.5379140683049527e-7,8.998944911550881e-7,0.8,12.3749483396326,1.0418480989527284e-6,2.522280097214521e-6,0.2,0,0,5
30,3000,500,0.95,0.95,0.05,-15.285992288065348,3.386547743328712e-5,2.0802991718188918e-4,0,7.297313743651654,7.239645764299685e-5,3.775508613355305e-4,0,0,0,5
30,3000,500,0.95,0.95,0.3,-44.86544299309655,1.2750123388999418e-4,4.986173113211447e-4,0,-6.925220276912966,2.7536294141131937e-4,0.0011486163441049423,0.6,0,0,5
30,3000,500,0.95,0.95,0.005,-6.529978190623428,2.267454893109952e-5,1.3803255540127988e-4,0.4,50.091693772480646,5.544608667070904e-5,2.1406659911642965e-4,0.6,0,0,5
30,3000,500,0.95,1,0.05,-36.74482758620684,1.5591702678397678e-6,6.517859927953468e-5,0,-8.813844734196593,5.933337430096534e-5,1.875747737419207e-4,0.6,0,0,5
30,3000,500,0.95,1,0.3,-38.970443349753715,5.0216713510746446e-5,3.268173507925895e-4,0,0.041475749739172674,1.667633937932231e-4,7.327591522823127e-4,0,0,0,5
30,3000,500,0.95,1,0.005,-75.99999999999997,3.5642940394978635e-6,2.3919999999999997e-6,0,-66.10745138828696,1.6514686910649616e-5,7.769071261030893e-6,0,0,0,5
30,3000,5000,0.95,0.95,0.05,-36.778734100764126,5.399099344556354e-6,3.9549867122320145e-5,0,-8.758026260729954,9.638051383447508e-6,5.9822820270385664e-5,0,0,0,5
30,3000,5000,0.95,0.95,0.3,-40.054911333377085,5.195632024821036e-5,1.280040773206242e-4,0,0.5547258084526163,1.4111025000408418e-4,3.003526356827964e-4,0.4,0,0,5
30,3000,5000,0.95,0.95,0.005,-5.908034007565694,3.056857892759404e-6,3.323446644321036e-5,0,31.428745335795192,3.2708095047934766e-6,4.174057232956063e-5,0.4,0,0,5
30,3000,5000,0.95,1,0.05,-29.688548692686666,3.734432951766841e-6,9.86909426415084e-6,0,5.45034632767255,1.2060187387998081e-5,2.8039609560751454e-5,0.4,0,0,5
30,3000,5000,0.95,1,0.3,-38.94166757890897,6.694462289335127e-5,8.539362714550045e-5,0,2.3459002058642637,1.8473827880028873e-4,2.2287317800975335e-4,0.6,0,0,5
30,3000,5000,0.95,1,0.005,-29.020689655173065,2.3514874529610259e-7,7.174009293369961e-7,1,-0.008304388210544217,8.01811088668689e-7,2.0191158705077277e-6,0.6,0,0,5
300,30,500,0.95,0.95,0.05,-25.583729606903038,0.0011195842736074235,0.00170471332756561,0,7.084945583442761,0.0010865220537730781,0.0018324597504203125,0,0,0,5
300,30,500,0.95,0.95,0.3,-36.518029977973285,6.604893522038502e-4,0.0012555065948160894,0,4.0581526376046915,4.8490478659371424e-4,0.0015111308503540763,0.4,0,0,5
300,30,500,0.95,0.95,0.005,-45.12635379061399,0.001243590085099529,0.0029407969926661254,0.8,-60.16999443748575,0.0012492629400797219,0.0030007386257122548,0.8,0,0,5
300,30,500,0.95,1,0.05,-44.204581168223214,1.8736164952044782e-5,5.744794223116601e-5,0,-6.0080437827618605,1.0224980693703621e-4,2.1004318581056936e-4,0.6,0,0,5
300,30,500,0.95,1,0.3,-40.383001202551256,1.7267504718723432e-5,3.1783365702253464e-4,0,-1.0405734285504806,4.5523053861434184e-5,7.738233259146158e-4,0.6,0,0,5
300,30,500,0.95,1,0.005,-58.18345046179076,3.0382983671379134e-6,4.360746298445033e-6,0,-25.044770770588116,1.5752504824035396e-5,1.7939286945642766e-5,0,0,0,5
300,30,5000,0.95,0.95,0.05,-9.344614223731437,0.002198490879210294,0.0019586519738082502,0,7.729598134359805,0.0021256865402086386,0.001911771665676216,0,0,0,5
300,30,5000,0.95,0.95,0.3,-40.947312321089704,8.499652040508791e-4,0.0013421695329762476,0,-1.427134121878985,6.29901925651862e-4,0.0010543331858855823,0,0,0,5
300,30,5000,0.95,0.95,0.005,490.76207757570313,0.0027991119751920035,0.0018501652568628465,0.2,517.7801821370176,0.0027969673289564424,0.0018548988484369299,0.2,0,0,5
300,30,5000,0.95,1,0.05,-31.931492617043173,4.620893364512485e-7,7.1545016256717295e-6,0,-0.6143867328664149,1.5211983102015972e-6,2.0650936458656507e-5,0.6,0,0,5
300,30,5000,0.95,1,0.3,-39.335093918541936,1.2062090240873605e-6,3.816738888290979e-5,0,2.0633555996875663,1.7860626786464107e-6,9.346730589296745e-5,0,0,0,5
300,30,5000,0.95,1,0.005,-26.659069031439948,1.9526654280510405e-7,7.632265405421973e-7,0,1.4747046331699438,3.9805028815365943e-7,2.08722932076348e-6,0.6,0,0,5
300,300,500,0.95,0.95,0.05,-19.891817323813704,3.17660003737574e-5,3.534539772022301e-4,0,-2.60623875434024,7.997884368846154e-5,5.181221246043082e-4,0,0,0,5
300,300,500,0.95,0.95,0.3,-33.84011823727817,2.5868344226601644e-5,5.277715219334974e-4,0,10.781353678093131,5.9381643613204974e-5,8.939047965698722e-4,0,0,0,5
300,300,500,0.95,0.95,0.005,130.71403913527502,4.63785803984815e-5,2.9172646412943716e-4,0.8,151.6630687648306,9.309114473113352e-5,3.4462150110144493e-4,0.6,0,0,5
300,300,500,0.95,1,0.05,-25.428135043150473,2.3124508323399612e-5,7.533021463391341e-5,0,2.740185395063835,6.384422725414483e-5,1.9892939610635017e-4,0,0,0,5
300,300,500,0.95,1,0.3,-35.258493784403555,1.1053916956494092e-5,3.40399272687629e-4,0,6.41340896651745,6.220940518915645e-5,7.877185687895536e-4,0.2,0,0,5
300,300,500,0.95,1,0.005,-40.229168694654454,4.992529539653893e-6,6.3568892313443524e-6,0.8,-19.56849375397751,2.204636093912208e-5,1.564498361866586e-5,0.6,0,0,5
300,300,5000,0.95,0.95,0.05,-30.940074281491537,3.2442561914138394e-5,2.0135064013528746e-4,0,3.9586536406773507,3.1417465016048916e-5,2.1510666307135592e-4,0,0,0,5
300,300,5000,0.95,0.95,0.3,-39.15738938504815,6.133930315855615e-5,1.9330333063504772e-4,0,3.0299164798677043,4.750747985028138e-5,2.1459765642418174e-4,0.2,0,0,5
300,300,5000,0.95,0.95,0.005,204.76736850464957,6.114711394243493e-5,1.8346989436447046e-4,0.4,188.21021054051644,6.08665173632877e-5,1.9051802504236904e-4,0.4,0,0,5
300,300,5000,0.95,1,0.05,-28.57880886745248,5.909726115970595e-7,7.431321497664406e-6,0,1.662652444910151,2.1758756475342292e-06,2.0579427118886846e-5,0,0,0,5
300,300,5000,0.95,1,0.3,-40.44090023426079,2.6514667906575605e-6,3.721140678659671e-5,0,-0.9047311001328939,6.18097840496609e-6,9.245763890918337e-5,0,0,0,5
300,300,5000,0.95,1,0.005,-42.95339108269235,9.188516815324441e-8,5.979240558630331e-7,0,-20.638155575369193,2.5636444088649337e-7,1.691913854365842e-6,0,0,0,5
300,3000,500,0.95,0.95,0.05,-28.021109592108974,2.185790257629727e-5,2.04057909680145e-4,0,13.58178326987304,9.388972484575894e-5,4.203450370604803e-4,0.4,0,0,5
300,3000,500,0.95,0.95,0.3,-37.82285378321173,4.1559282885778285e-5,4.254432718143656e-4,0,-2.7675587536029984,6.106440029242002e-5,8.798054171158645e-4,0,0,0,5
300,3000,500,0.95,0.95,0.005,-7.966113559909026,1.4719053201415903e-5,1.4045929663177953e-4,0,174.87254566742075,6.505044408972823e-5,2.5168657184485564e-4,0.2,0,0,5
300,3000,500,0.95,1,0.05,-32.283814561075246,1.913810552213772e-5,6.947567281623099e-5,0,9.876646576028838,5.506327111349365e-5,2.3973320903231967e-4,0.2,0,0,5
300,3000,500,0.95,1,0.3,-38.7492070231095,2.038601068148818e-5,3.2559642224818373e-4,0,3.409175207361041,6.425008280532918e-5,7.795603743192258e-4,0.6,0,0,5
300,3000,500,0.95,1,0.005,-41.25750580577095,3.922242510861193e-6,6.141042004003385e-6,0,-49.95579973705366,9.626114031605046e-6,6.361304677240919e-6,0,0,0,5
300,3000,5000,0.95,0.95,0.05,-41.41405595705031,1.1664383306175547e-6,3.843112876957044e-5,0,-14.79372806844896,2.613278055595967e-6,5.583281939896965e-5,0.8,0,0,5
300,3000,5000,0.95,0.95,0.3,-39.53311201660441,4.058891117313164e-6,6.067414508096773e-5,0,0.6028267148426858,7.085448794821176e-6,1.1126296642102003e-4,0.4,0,0,5
300,3000,5000,0.95,0.95,0.005,78.07701465090152,9.03662951874505e-7,3.0467116788582665e-5,0,125.05633048862859,1.8258659244338535e-6,3.8867567034266186e-5,0,0,0,5
300,3000,5000,0.95,1,0.05,-32.794283630618146,3.1218918601743464e-7,6.89840834184072e-6,0,-4.980905211801181,2.1751881635401096e-6,1.8774803848716662e-05,0,0,0,5
300,3000,5000,0.95,1,0.3,-39.602341875331796,3.413352676517145e-6,3.788291189808161e-5,0,1.5561670588965146,1.152672308728708e-5,9.405150767029092e-5,0.4,0,0,5
300,3000,5000,0.95,1,0.005,-36.27643382612135,8.836376069391124e-8,6.67560592615756e-7,0,-6.407450134379625,4.60786846592007e-7,2.018488548252111e-6,0,0,0,5
