n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,mse_pi_RG,hat_pi_RG_notrunc,n_sims
40,250,2500,0.8,0.8,0.01,121.36235797449363,0.027170813257601605,0.0449208053916157,0.955,8.854674871014425e-4,-17.49019228670394,10000
40,250,2500,0.8,0.8,0.02,45.453865467774584,0.030950948481722803,0.04455463591740142,0.9514,0.0010405075712355692,-6.3096523233415605,NA
40,250,2500,0.8,0.8,0.03,21.145917748040556,0.033603316025664555,0.044189133340068666,0.9534,0.0011693134150025128,-3.037026196344335,NA
40,250,2500,0.8,0.8,0.04,9.515879586424383,0.0351103904002954,0.0439569814503911,0.956,0.0012471045543982816,-2.603913222676852,NA
40,250,2500,0.8,0.8,0.05,4.454519409507196,0.037854979902103895,0.04391507573048843,0.9549,0.0014378168892307701,-2.0637829667231875,NA
40,250,2500,0.8,0.8,0.060000000000000005,1.0637134085598787,0.038907523225959334,0.04364565914074025,0.957,0.001514051319079805,-2.3869897322708122,NA
40,250,2500,0.8,0.8,0.06999999999999999,0.3441918468357381,0.04096991132375521,0.043291164721233746,0.9532,0.0016784238298464173,-1.838470521001822,NA
40,250,2500,0.8,0.8,0.08,0.008465257021958439,0.0422751282885611,0.043316256673400846,0.9525,0.0017870077990298865,-1.148723222942627,NA
40,250,2500,0.8,0.8,0.09,-0.025187941909051347,0.041649729323483355,0.04308961043336009,0.9552,0.0017345269966144155,-0.5561371290516766,NA
40,250,2500,0.8,0.8,0.09999999999999999,-0.010499816553738441,0.04251865256866524,0.043072447243347675,0.9553,0.0018076551429193856,-0.2569800346561013,NA
40,250,2500,0.8,0.8,0.11,-1.0254591728057534,0.042632471023634266,0.04303752298356477,0.9581,0.001818618228305718,-1.154268861074859,NA
40,250,2500,0.8,0.8,0.12,-0.19286505532953765,0.04259183765635641,0.042939804349640745,0.956,0.001813936792060502,-0.24692783366610932,NA
40,250,2500,0.8,0.8,0.13,0.012722811886096013,0.04273680527111217,0.04301999245832071,0.9574,0.0018262521548886854,-0.01803179541436213,NA
40,250,2500,0.8,0.8,0.14,0.10051899094619199,0.042594247967378845,0.04307294994409657,0.9619,0.001814108336882946,0.08630533142406756,NA
40,250,2500,0.8,0.8,0.15000000000000002,0.604035405462333,0.04340562720953294,0.0430826454198802,0.9593,0.0018846810008404683,0.590207943452196,NA
40,250,2500,0.8,0.8,0.16,0.5070033041106904,0.0432304113916132,0.04333591420077295,0.9629,0.0018693396362581816,0.503594244877243,NA
40,250,2500,0.8,0.8,0.17,-0.025601640860710182,0.04305917043324004,0.04330114522714334,0.9613,0.0018539086434161765,-0.026265723674825117,NA
40,250,2500,0.8,0.8,0.18000000000000002,1.018703382114874,0.043989784423071,0.043584899506393854,0.9601,0.0019382699547964735,1.0182346008993308,NA
40,250,2500,0.8,0.8,0.19,0.7244018828230605,0.044277614875446826,0.04384068333414424,0.9617,0.001962205505037578,0.7244018828230605,NA
40,250,2500,0.8,0.8,0.2,0.49183457347569404,0.04423667092443693,0.04396296904177734,0.9624,0.00195765497116214,0.49183457347569404,NA
40,250,2500,0.8,0.95,0.01,39.32196924977333,0.013848447151620138,0.019344035068858373,0.942,2.07222483219166e-4,1.969610545118662,NA
40,250,2500,0.8,0.95,0.02,8.044271527578807,0.01647880696862877,0.019459291936083974,0.941,2.7411233617779374e-4,-1.3501249820026955,NA
40,250,2500,0.8,0.95,0.03,1.80680164084576,0.018234234350617752,0.019515024257715508,0.943,3.3274786151825576e-4,-0.6784325721223214,NA
40,250,2500,0.8,0.95,0.04,1.0940012826184813,0.018937037353223222,0.019553509830269444,0.9487,3.587670167880191e-4,0.5134854061954707,NA
40,250,2500,0.8,0.95,0.05,-0.07030280586507731,0.019636373544526145,0.019711985734680165,0.9486,3.8554984288469634e-4,-0.2153611454656923,NA
40,250,2500,0.8,0.95,0.060000000000000005,-0.3143228419427134,0.02042102508038688,0.019924168305216056,0.9464,4.1701213109288473e-4,-0.3755945257213552,NA
40,250,2500,0.8,0.95,0.06999999999999999,0.4266259103538617,0.02036519298369011,0.02005339893755819,0.9506,4.1478879589143324e-4,0.4182749786284246,NA
40,250,2500,0.8,0.95,0.08,0.4468843128830821,0.02053018977522901,0.02030654568068837,0.9531,4.2157435491472177e-4,0.44341302049603903,NA
40,250,2500,0.8,0.95,0.09,0.018177652742355933,0.020684902315047684,0.02056564894919567,0.9553,4.278226649106047e-4,0.018177652742355933,NA
40,250,2500,0.8,0.95,0.09999999999999999,0.39784740498849397,0.021205626398861782,0.020875644782913396,0.9536,4.4979190566666303e-4,0.39784740498849397,NA
40,250,2500,0.8,0.95,0.11,0.6242335570245571,0.02137442131194266,0.02119287633430911,0.9561,4.572916975475824e-4,0.6242335570245571,NA
40,250,2500,0.8,0.95,0.12,0.7732696226267951,0.021527337241978275,0.021590123359970577,0.9613,4.642409482143513e-4,0.7732696226267951,NA
40,250,2500,0.8,0.95,0.13,0.5696361887227783,0.02186026682374833,0.021964791609884186,0.9623,4.7837185878379083e-4,0.5696361887227783,NA
40,250,2500,0.8,0.95,0.14,0.3783821582233853,0.02245461994599031,0.022282839378993072,0.9587,5.04440155116191e-4,0.3783821582233853,NA
40,250,2500,0.8,0.95,0.15000000000000002,0.6221456929595784,0.02273577911124828,0.02282633941304103,0.9629,5.177348570726473e-4,0.6221456929595784,NA
40,250,2500,0.8,0.95,0.16,0.5121004799090236,0.02357831392381804,0.02330535753819683,0.9588,5.565526458692616e-4,0.5121004799090236,NA
40,250,2500,0.8,0.95,0.17,0.5925243270891918,0.02406721420602648,0.023826297614076536,0.9575,5.801875124347752e-4,0.5925243270891918,NA
40,250,2500,0.8,0.95,0.18000000000000002,0.7197311975461503,0.024503749135643002,0.024254120767646468,0.9603,6.020520404397316e-4,0.7197311975461503,NA
40,250,2500,0.8,0.95,0.19,0.4809242320593917,0.025117773439548425,0.024782697205956362,0.9531,6.31674402408533e-4,0.4809242320593917,NA
40,250,2500,0.8,0.95,0.2,0.778280169874912,0.0258954978765106,0.025401812600217736,0.954,6.729326326826197e-4,0.778280169874912,NA
40,250,2500,0.8,0.99,0.01,7.815019354476989,0.0073600868783344625,0.008389682460661347,0.9058,5.477620704385398e-5,1.2421758417464206,NA
40,250,2500,0.8,0.99,0.02,1.217534223412614,0.008765564950368543,0.008779449434597445,0.9131,7.68867409696468e-5,0.737083819296689,NA
40,250,2500,0.8,0.99,0.03,0.6376762625754165,0.009409513302529537,0.009254362336243752,0.9311,8.856668348784798e-5,0.5922618884017864,NA
40,250,2500,0.8,0.99,0.04,0.026861758357088483,0.00981952990256361,0.009720617936726643,0.9465,9.641364063924009e-5,0.02498725014928385,NA
40,250,2500,0.8,0.99,0.05,0.25711083490127795,0.010233977005900381,0.01019307413366446,0.9545,1.047403384241179e-4,0.25711083490127795,NA
40,250,2500,0.8,0.99,0.060000000000000005,0.37674437652241105,0.010727404174529607,0.0107349566716136,0.9583,1.1511678968076971e-4,0.37674437652241105,NA
40,250,2500,0.8,0.99,0.06999999999999999,0.37652764965223234,0.011491744390934418,0.01132076802805679,0.9587,1.321164519324248e-4,0.37652764965223234,NA
40,250,2500,0.8,0.99,0.08,0.5309649186233285,0.012082418482533368,0.011915182046230353,0.9602,1.461506691001028e-4,0.5309649186233285,NA
40,250,2500,0.8,0.99,0.09,0.7482821191717726,0.01263064170141962,0.012549742579580804,0.9603,1.599706966438578e-4,0.7482821191717726,NA
40,250,2500,0.8,0.99,0.09999999999999999,0.5727613984344709,0.013325547348470195,0.01316000536793221,0.9604,1.7788051073464405e-4,0.5727613984344709,NA
40,250,2500,0.8,0.99,0.11,0.7421256413566018,0.014002193818024443,0.01381926156409403,0.9568,1.967082336400965e-4,0.7421256413566018,NA
40,250,2500,0.8,0.99,0.12,0.7517121068170245,0.014796092345013312,0.014456973255205667,0.9552,2.1971615861910408e-4,0.7517121068170245,NA
40,250,2500,0.8,0.99,0.13,0.360716921872997,0.015221153594194473,0.015047701013418712,0.9539,2.3188024560554166e-4,0.360716921872997,NA
40,250,2500,0.8,0.99,0.14,0.7805106864640563,0.016150942073034743,0.015890579262335135,0.9548,2.62020870539641e-4,0.7805106864640563,NA
40,250,2500,0.8,0.99,0.15000000000000002,0.46990502264819073,0.01641222490298006,0.016462362193455617,0.9519,2.698310142965696e-4,0.46990502264819073,NA
40,250,2500,0.8,0.99,0.16,0.3630447060679921,0.017273766277421828,0.01713368810749736,0.9512,2.9869057484088106e-4,0.3630447060679921,NA
40,250,2500,0.8,0.99,0.17,0.579112330783413,0.018137270992402157,0.01789786880803142,0.9492,3.298969254468405e-4,0.579112330783413,NA
40,250,2500,0.8,0.99,0.18000000000000002,0.49085391437192477,0.018670656601642344,0.018590169952286333,0.9474,3.49339196306081e-4,0.49085391437192477,NA
40,250,2500,0.8,0.99,0.19,0.4461254645689086,0.019746655004797824,0.019253382057405153,0.9426,3.9060988166791303e-4,0.4461254645689086,NA
40,250,2500,0.8,0.99,0.2,0.6417710978562224,0.02021627697255124,0.020078318731726656,0.9463,4.103044654136168e-4,0.6417710978562224,NA
40,250,2500,0.99,0.8,0.01,80.4621806319797,0.021346438501447858,0.03351807054083517,0.9489,5.203664947729591e-4,-15.28668662604418,NA
40,250,2500,0.99,0.8,0.02,25.78878404764886,0.024368934015592612,0.03318724510489746,0.9464,6.203880158680518e-4,-4.739281822438539,NA
40,250,2500,0.99,0.8,0.03,9.082134302741684,0.026949030360495414,0.032958994442905024,0.946,7.336012770615399e-4,-4.115029351702132,NA
40,250,2500,0.99,0.8,0.04,2.380406787942952,0.02887288650833896,0.03273825406942622,0.9422,8.344668248020632e-4,-3.69587037642706,NA
40,250,2500,0.99,0.8,0.05,1.0084314247830044,0.03031734146748048,0.032415057877070386,0.9465,9.193035130210682e-4,-1.5868482659240484,NA
40,250,2500,0.99,0.8,0.060000000000000005,0.13517080122792585,0.03094184319472261,0.03213380193059727,0.9427,9.57308498133155e-4,-1.0242156504634372,NA
40,250,2500,0.99,0.8,0.06999999999999999,-1.166354982264778,0.031139452919632816,0.03193475592606245,0.9502,9.702351497140958e-4,-1.615048931475369,NA
40,250,2500,0.99,0.8,0.08,-1.759708071639391,0.03192105764393113,0.031733949599426145,0.9445,0.0010208338321133952,-1.9652524966042721,NA
40,250,2500,0.99,0.8,0.09,-0.3063009009510176,0.03134793418362856,0.03134593792420307,0.9462,9.82670702679308e-4,-0.3752207928596485,NA
40,250,2500,0.99,0.8,0.09999999999999999,-0.5440056356568607,0.030890320772579357,0.031130663235773737,0.9512,9.544124383727308e-4,-0.5777504002229539,NA
40,250,2500,0.99,0.8,0.11,-1.1728697030893853,0.03141555969743586,0.03095993494264592,0.946,9.885032016059606e-4,-1.192885473082646,NA
40,250,2500,0.99,0.8,0.12,-0.7031671846117448,0.030490175025893223,0.030691788718900475,0.9491,9.302698075211931e-4,-0.7059967188126233,NA
40,250,2500,0.99,0.8,0.13,-0.5884198880453363,0.030568553478160322,0.030406898077233093,0.9476,9.349281602612266e-4,-0.5891872299728993,NA
40,250,2500,0.99,0.8,0.14,-0.463427246968787,0.030358475258172736,0.0301778523701124,0.9467,9.219657953330229e-4,-0.463427246968787,NA
40,250,2500,0.99,0.8,0.15000000000000002,-0.4406142555791377,0.029876517918627672,0.0299094185894793,0.9474,8.929538793847801e-4,-0.444014981343795,NA
40,250,2500,0.99,0.8,0.16,-0.931136335655166,0.029683204474600884,0.029761426831820516,0.9514,8.832240766996558e-4,-0.931136335655166,NA
40,250,2500,0.99,0.8,0.17,-0.339899633445371,0.029614989403367452,0.029428987392523764,0.9464,8.772937793905895e-4,-0.339899633445371,NA
40,250,2500,0.99,0.8,0.18000000000000002,-0.2764555249885891,0.029205655283029423,0.029167936886100174,0.9489,8.531326290907347e-4,-0.2764555249885891,NA
40,250,2500,0.99,0.8,0.19,-0.5326781730672095,0.029284387147631236,0.02901051243110804,0.9464,8.585138962694728e-4,-0.5326781730672095,NA
40,250,2500,0.99,0.8,0.2,-0.43674123008341503,0.029216975880449803,0.02875712696137565,0.9461,8.543092880390448e-4,-0.43674123008341503,NA
40,250,2500,0.99,0.95,0.01,25.735812805037767,0.011672613102912168,0.015252561789660554,0.934,1.4285959226797125e-4,0.563641939803107,NA
40,250,2500,0.99,0.95,0.02,2.6673250843214404,0.013742816303286219,0.015320840057247076,0.9398,1.891306983700929e-4,-2.070373448565272,NA
40,250,2500,0.99,0.95,0.03,0.4654192560999207,0.014823362969329307,0.015272500553430055,0.9385,2.1972961186906672e-4,-0.2995057440052911,NA
40,250,2500,0.99,0.95,0.04,-0.2844080185855982,0.015263750832014988,0.015268696479566704,0.9379,2.3297173332025776e-4,-0.452277341651177,NA
40,250,2500,0.99,0.95,0.05,-0.3161342128983058,0.01537581636823956,0.015267061345499353,0.9392,2.364170726270658e-4,-0.33730519066524356,NA
40,250,2500,0.99,0.95,0.060000000000000005,-0.6449678973458397,0.01544843428775347,0.015270558659925808,0.9421,2.387800106227412e-4,-0.6469110961500207,NA
40,250,2500,0.99,0.95,0.06999999999999999,-0.1604240067883321,0.015279551787182667,0.01526727177550333,0.9421,2.334539669192728e-4,-0.1617589016525621,NA
40,250,2500,0.99,0.95,0.08,-0.26840129608168145,0.015213915230479118,0.015234969108037316,0.9451,2.31486175442213e-4,-0.26840129608168145,NA
40,250,2500,0.99,0.95,0.09,-0.48125514627292115,0.01543633416378457,0.015289319136822894,0.942,2.3844418565259056e-4,-0.48125514627292115,NA
40,250,2500,0.99,0.95,0.09999999999999999,-0.05625154063249039,0.01531939560312247,0.015219719411508514,0.9429,2.3466357749262712e-4,-0.05625154063249039,NA
40,250,2500,0.99,0.95,0.11,-0.12594143383473896,0.015355340026890015,0.015212520071192802,0.9417,2.3578208080083166e-4,-0.12594143383473896,NA
40,250,2500,0.99,0.95,0.12,0.10861880179141119,0.01529161832338104,0.015217015747602465,0.9449,2.3382719677237572e-4,0.10861880179141119,NA
40,250,2500,0.99,0.95,0.13,-0.09716187638506653,0.015058529804713042,0.015234214320311017,0.9491,2.2675259827451938e-4,-0.09716187638506653,NA
40,250,2500,0.99,0.95,0.14,-0.0819925728264202,0.015254636431016419,0.01520707767267048,0.9462,2.3269383890194654e-4,-0.0819925728264202,NA
40,250,2500,0.99,0.95,0.15000000000000002,-0.09146970053669488,0.015061727066782434,0.015180034722936905,0.948,2.2685176176078477e-4,-0.09146970053669488,NA
40,250,2500,0.99,0.95,0.16,-0.061763827057005616,0.01532828735384927,0.01521766052461472,0.9498,2.3494266337490704e-4,-0.061763827057005616,NA
40,250,2500,0.99,0.95,0.17,-0.1400225462374191,0.015443047628050186,0.0152225855087075,0.9473,2.3852053351610666e-4,-0.1400225462374191,NA
40,250,2500,0.99,0.95,0.18000000000000002,-0.05226243844495671,0.01524605040971003,0.015206467592284273,0.9486,2.3242765850451982e-4,-0.05226243844495671,NA
40,250,2500,0.99,0.95,0.19,-0.12574288667350833,0.015105546366159493,0.015173522948255498,0.9499,2.2821179196460406e-4,-0.12574288667350833,NA
40,250,2500,0.99,0.95,0.2,-0.055784333891653604,0.01520504221625041,0.015192703259657854,0.9482,2.3118263703470837e-4,-0.055784333891653604,NA
