n_1,n_2,n_3,sigma_e,sigma_p,pi,mse_pi_RG,n_sims
40,250,2500,0.8,0.8,0.01,9.543982859958804e-4,1000
40,250,2500,0.8,0.8,0.02,0.0010027573845810013,NA
40,250,2500,0.8,0.8,0.03,0.0010568753556739411,NA
40,250,2500,0.8,0.8,0.04,0.0012212945154808938,NA
40,250,2500,0.8,0.8,0.05,0.0014503843364736626,NA
40,250,2500,0.8,0.8,0.060000000000000005,0.0014424496165372663,NA
40,250,2500,0.8,0.8,0.06999999999999999,0.0016282345861307016,NA
40,250,2500,0.8,0.8,0.08,0.0016818761890989478,NA
40,250,2500,0.8,0.8,0.09,0.0019838945067546703,NA
40,250,2500,0.8,0.8,0.09999999999999999,0.0017262837065345306,NA
40,250,2500,0.8,0.8,0.11,0.0016876610038142241,NA
40,250,2500,0.8,0.8,0.12,0.0017161780012316325,NA
40,250,2500,0.8,0.8,0.13,0.0018297061150756376,NA
40,250,2500,0.8,0.8,0.14,0.0017637958063484917,NA
40,250,2500,0.8,0.8,0.15000000000000002,0.001706288905005359,NA
40,250,2500,0.8,0.8,0.16,0.0019154311361648307,NA
40,250,2500,0.8,0.8,0.17,0.0018354679599253197,NA
40,250,2500,0.8,0.8,0.18000000000000002,0.0019828392678125596,NA
40,250,2500,0.8,0.8,0.19,0.0018620114247799493,NA
40,250,2500,0.8,0.8,0.2,0.002018248601337732,NA
40,250,2500,0.8,0.95,0.01,2.1795230390562318e-4,NA
40,250,2500,0.8,0.95,0.02,2.6451409655803537e-4,NA
40,250,2500,0.8,0.95,0.03,3.2875761501237707e-4,NA
40,250,2500,0.8,0.95,0.04,3.6742291378220095e-4,NA
40,250,2500,0.8,0.95,0.05,3.932894844964495e-4,NA
40,250,2500,0.8,0.95,0.060000000000000005,4.003282127873383e-4,NA
40,250,2500,0.8,0.95,0.06999999999999999,4.180547088930336e-4,NA
40,250,2500,0.8,0.95,0.08,4.0095050365909925e-4,NA
40,250,2500,0.8,0.95,0.09,4.460272389663501e-4,NA
40,250,2500,0.8,0.95,0.09999999999999999,4.522487855946388e-4,NA
