n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,n_sims
40,250,2500,0.8,0.8,0.01,126.51765134191322,0.02819798310582474,0.045287929628492554,0.948,1000
40,250,2500,0.8,0.8,0.02,45.436051424849154,0.030349647360597993,0.04466550867883829,0.951,NA
40,250,2500,0.8,0.8,0.03,12.441888220982094,0.032310792168239594,0.04478048132544204,0.95,NA
40,250,2500,0.8,0.8,0.04,5.389914796392423,0.03489791097801621,0.04401115216189764,0.958,NA
40,250,2500,0.8,0.8,0.05,3.057243593599573,0.03807226219999327,0.04373589672289254,0.954,NA
40,250,2500,0.8,0.8,0.060000000000000005,3.3692608446233767,0.037944732553488125,0.0432382364371116,0.96,NA
40,250,2500,0.8,0.8,0.06999999999999999,-1.793392829725468,0.04035203720625463,0.04400372084162758,0.965,NA
40,250,2500,0.8,0.8,0.08,2.3496526546845815,0.04098808188599626,0.042884214349553015,0.956,NA
40,250,2500,0.8,0.8,0.09,1.2643624330585987,0.04454867242641807,0.043187557674578804,0.951,NA
40,250,2500,0.8,0.8,0.09999999999999999,-2.943520205725803,0.04146490967151721,0.04311752559885058,0.963,NA
40,250,2500,0.8,0.8,0.11,-2.0362582686385915,0.041040568359907534,0.04291092639673266,0.969,NA
40,250,2500,0.8,0.8,0.12,-1.3674170652399367,0.04141498095495743,0.04317495300737715,0.968,NA
40,250,2500,0.8,0.8,0.13,-0.7239149364268727,0.04278610892452223,0.04328585427167067,0.964,NA
40,250,2500,0.8,0.8,0.14,0.5493267975940908,0.04201153801291753,0.04305953256137329,0.964,NA
40,250,2500,0.8,0.8,0.15000000000000002,0.15499545382443208,0.04132726454437786,0.04327311664975059,0.966,NA
40,250,2500,0.8,0.8,0.16,0.48300812625806305,0.04378071089961453,0.04331863143842967,0.954,NA
40,250,2500,0.8,0.8,0.17,-0.43120674742067205,0.042857523993221756,0.043051483841375304,0.961,NA
40,250,2500,0.8,0.8,0.18000000000000002,0.3972342479736934,0.04454562070711316,0.043795308768279056,0.957,NA
40,250,2500,0.8,0.8,0.19,-0.16429867536844084,0.04317149237629362,0.04370344992963487,0.961,NA
40,250,2500,0.8,0.8,0.2,1.2161333258423057,0.04488147755255095,0.04397145752675658,0.961,NA
40,250,2500,0.8,0.95,0.01,39.27127396710131,0.014238423614384233,0.019552405184662374,0.937,NA
40,250,2500,0.8,0.95,0.02,13.277921542005183,0.01605365030848862,0.019298050740297775,0.945,NA
40,250,2500,0.8,0.95,0.03,-1.6378643630449627,0.01813408464930031,0.019671288989740448,0.942,NA
40,250,2500,0.8,0.95,0.04,0.6960503213758635,0.01917584702492545,0.019595842371466707,0.944,NA
40,250,2500,0.8,0.95,0.05,0.9895543395677109,0.019835274592676477,0.01963252194717998,0.952,NA
40,250,2500,0.8,0.95,0.060000000000000005,1.0067269629026458,0.020009090853912323,0.019935920182823984,0.953,NA
40,250,2500,0.8,0.95,0.06999999999999999,-0.8475563193002404,0.020448003261697094,0.020109371769276616,0.953,NA
40,250,2500,0.8,0.95,0.08,-0.3566082559773934,0.020031734463042114,0.02036430177201543,0.959,NA
40,250,2500,0.8,0.95,0.09,0.9825132957117418,0.02111139528198787,0.020460508225964093,0.949,NA
40,250,2500,0.8,0.95,0.09999999999999999,0.9793528344107517,0.021254208877664344,0.02103611852707672,0.954,NA
