n_1,n_2,n_3,sigma_e,sigma_p,pi,mse_pi_RG,mse_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
40,250,2500,0.8,0.8,0.01,8.228772712773516e-4,9.560888194408729e-4,0,0,1000,1000
40,250,2500,0.8,0.8,0.02,8.552583596654708e-4,0.0010707978020945527,0,0,1000,NA
40,250,2500,0.8,0.8,0.03,9.855977487648027e-4,0.001249324309304851,0,0,1000,NA
40,250,2500,0.8,0.8,0.04,0.001120370854550139,0.0013956892382397145,0,0,1000,NA
40,250,2500,0.8,0.8,0.05,0.0013737497986589934,0.00159667509430806,0,0,1000,NA
40,250,2500,0.8,0.8,0.060000000000000005,0.001491998990470092,0.001672350527379366,0,0,1000,NA
40,250,2500,0.8,0.8,0.06999999999999999,0.0019762029355561033,0.0018586847745233896,0,0,1000,NA
40,250,2500,0.8,0.8,0.08,0.0019484938202989149,0.0016886486932573064,0,0,1000,NA
40,250,2500,0.8,0.8,0.09,0.002204531101636711,0.0017653289592658437,0,0,1000,NA
40,250,2500,0.8,0.8,0.09999999999999999,0.0025680113448541893,0.001980959061823787,0,0,1000,NA
40,250,2500,0.8,0.8,0.11,0.0025256386544376666,0.0018321033309172269,0,0,1000,NA
40,250,2500,0.8,0.8,0.12,0.003258521338991925,0.0022308807074241876,0,0,1000,NA
40,250,2500,0.8,0.8,0.13,0.003123874282696979,0.001925484189170969,0,0,1000,NA
40,250,2500,0.8,0.8,0.14,0.003693238762654996,0.0019788943439299827,0,0,1000,NA
40,250,2500,0.8,0.8,0.15000000000000002,0.0038134453087468752,0.0019921926721702173,0,0,1000,NA
40,250,2500,0.8,0.8,0.16,0.004251150656870964,0.00205367992123364,0,0,1000,NA
40,250,2500,0.8,0.8,0.17,0.004157043759919834,0.0019823013314420558,0,0,1000,NA
40,250,2500,0.8,0.8,0.18000000000000002,0.004771929490254254,0.0021062386527116866,0,0,1000,NA
40,250,2500,0.8,0.8,0.19,0.00514612806220927,0.002030702379792248,0,0,1000,NA
40,250,2500,0.8,0.8,0.2,0.005562186409103575,0.002163431166972878,0,0,1000,NA
40,250,2500,0.8,0.95,0.01,1.719863888467341e-4,2.1757136952363127e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.02,2.4070810133668594e-4,2.893588130900983e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.03,3.5193804540574285e-4,3.7866468134159926e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.04,4.3809678059861934e-4,4.044465371609002e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.05,5.397561425146794e-4,3.8628298496867964e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.060000000000000005,7.038379697761802e-4,4.5839273114124413e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.06999999999999999,8.579182499358376e-4,4.384769369176949e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.08,9.712559273427385e-4,4.8205646068041647e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.09,0.0010808684600883104,4.5180745724848894e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.09999999999999999,0.0012852096000743414,5.083052303643001e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.11,0.0014620512721547564,5.26063455952597e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.12,0.0017044258202999702,5.185248574247634e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.13,0.00187037757254099,5.344420433046357e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.14,0.0021815862440077286,5.784270705401084e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.15000000000000002,0.0023391976691083697,5.839120817424518e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.16,0.002772102704184447,6.720186484550454e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.17,0.0031658499381364566,6.388646198777091e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.18000000000000002,0.0032588970366591854,6.732108992211402e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.19,0.003625713684643443,7.059122172172264e-4,0,0,1000,NA
40,250,2500,0.8,0.95,0.2,0.004010760192562121,7.664111804839782e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.01,4.779521665452887e-5,6.285623190021792e-5,0,0,1000,NA
40,250,2500,0.8,0.99,0.02,9.821652486365901e-5,8.822767687616262e-5,0,0,1000,NA
