n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full
40,250,2500,0.8,0.8,0.01,106.51247466172498,0.02664842091060433,0.04525199399640519,0.966,127.1241760677941,0.02820068326420986,0.046350081750192514,0.96,0,0,1000
40,250,2500,0.8,0.8,0.02,18.751096345190724,0.02901786090239866,0.04514984800500231,0.972,41.38821623921889,0.031674622429668224,0.046199065340429,0.964,0,0,1000
40,250,2500,0.8,0.8,0.03,1.8009884556313693,0.03140528809830889,0.04454948789834244,0.975,27.1436311245155,0.03441218685222816,0.04558250614784758,0.962,0,0,1000
40,250,2500,0.8,0.8,0.04,-8.204637084426228,0.033327331042173045,0.044182664195444935,0.973,18.22548867488212,0.03665905310321064,0.04520646365218969,0.965,0,0,1000
40,250,2500,0.8,0.8,0.05,-20.226626530841656,0.03567552994548712,0.04410468527945675,0.98,5.041540026031021,0.039898781003623617,0.045117839993878035,0.961,0,0,1000
40,250,2500,0.8,0.8,0.060000000000000005,-21.36965527332476,0.036454485870327354,0.04360038958843488,0.986,5.712079145098018,0.04077090591108598,0.04467448817539224,0.965,0,0,1000
40,250,2500,0.8,0.8,0.06999999999999999,-30.542801318105695,0.03899513850890089,0.04423877431309114,0.993,-3.5132488273488334,0.04306380424755175,0.04526735808540553,0.965,0,0,1000
40,250,2500,0.8,0.8,0.08,-28.527774980396998,0.03780303115427095,0.043621763816285776,0.988,0.038880405702559906,0.041113721114028855,0.04471585894610931,0.965,0,0,1000
40,250,2500,0.8,0.8,0.09,-29.592759454217692,0.03868701776005193,0.04341277845351044,0.984,-0.65518263009886,0.042032701592964884,0.044553580530612015,0.979,0,0,1000
40,250,2500,0.8,0.8,0.09999999999999999,-29.604160647712444,0.041149706141285346,0.043615032996815496,0.943,-0.37722621834128395,0.04452863754670413,0.04486144593111628,0.968,0,0,1000
40,250,2500,0.8,0.8,0.11,-27.38216787535681,0.04024948575199885,0.04315241652886567,0.939,2.301552472659043,0.042749518222388726,0.04452310289721189,0.96,0,0,1000
40,250,2500,0.8,0.8,0.12,-30.297509299688244,0.04402985017277484,0.04310481499941916,0.878,-0.5141144630096961,0.04725180238416298,0.0445194649058702,0.948,0,0,1000
40,250,2500,0.8,0.8,0.13,-28.741525178752823,0.04158769786469519,0.04295659688455811,0.888,1.2848697444340234,0.04387047758384595,0.04452442908456671,0.957,0,0,1000
40,250,2500,0.8,0.8,0.14,-31.262410273775988,0.04218335142429568,0.0433989715013498,0.85,-0.6836739271270336,0.044496720985177034,0.045060657225404255,0.969,0,0,1000
