n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRG_restriction,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRG_restriction,num_infinite_pi_SRGM,sims_w_positivity,n_sims
40,250,2500,0.8,0.8,0.009912299793487728,103.57153606374102,117.91381677303204,191.5500459343957,125.92547308196869,0,0,0,0,445,500
40,250,2500,0.8,0.8,0.020076306911179623,24.1082189138168,50.17307594594496,21.25162685548324,48.00171890229278,0,0,0,0,435,NA
40,250,2500,0.8,0.8,0.030014421461553767,-7.4537179940103,17.814109794218584,19.942566979421446,19.50257105586506,0,0,0,0,445,NA
40,250,2500,0.8,0.8,0.03984382321137399,-19.721632864119456,6.117560136426026,21.68263602420425,10.16746544979394,0,0,0,0,453,NA
40,250,2500,0.8,0.8,0.04999999597153313,-18.598478069248284,11.079758769966348,-3.034525949988165,13.326009350173672,0,0,0,0,453,NA
40,250,2500,0.8,0.8,0.05995028303745747,-24.00328103252172,3.5369282918450566,10.624648549722542,7.624951577687926,0,0,0,0,442,NA
40,250,2500,0.8,0.8,0.07004357654639723,-23.632603080941156,6.3596413340609965,4.096565890688814,9.367974990965395,0,0,0,0,455,NA
40,250,2500,0.8,0.8,0.07985389946003679,-26.4015595051414,2.1264738707456003,10.774294134422512,5.903095576511566,0,0,0,0,449,NA
40,250,2500,0.8,0.8,0.09005769599673488,-30.179155398090185,-1.5540341701987797,-5.009376943343899,2.0056984554512756,0,0,0,0,448,NA
40,250,2500,0.8,0.8,0.10092145976379437,-31.295953837090885,-1.9988314021931557,-4.935251047551825,0.4589099329518977,0,0,0,0,447,NA
40,250,2500,0.8,0.8,0.11010460386102104,-29.876376071639204,0.49177526478209127,2.3579491595713775,3.3582654417867914,0,0,0,0,441,NA
40,250,2500,0.8,0.8,0.11995767669210997,-26.94013314012299,1.8682522954946263,5.796694533802174,5.490758303267152,0,0,0,0,447,NA
40,250,2500,0.8,0.8,0.1299855839797041,-32.53230846374654,-2.735971699214044,-3.047184416975791,-0.2086539039273224,0,0,0,0,437,NA
40,250,2500,0.8,0.8,0.14011042979399077,-31.636797521829298,-1.4042355870304786,-5.194939990251739,1.0218630080404976,0,0,0,0,454,NA
40,250,2500,0.8,0.8,0.15025204503364473,-28.733721072903556,2.157391917465059,-4.080920631249421,3.1026544495769097,0,0,0,0,445,NA
40,250,2500,0.8,0.8,0.16032946675383158,-30.287939632747523,-0.7326120094509188,-5.358099202474894,0.8370668481766774,0,0,0,0,441,NA
40,250,2500,0.8,0.8,0.17026230863197309,-30.209478902054105,-1.12424042209103,-4.191795164696028,0.5365648137311664,0,0,0,0,446,NA
40,250,2500,0.8,0.8,0.17997198453830315,-28.46284357420402,1.1404835202221588,-6.957448878467095,2.065818310806104,0,0,0,0,447,NA
40,250,2500,0.8,0.8,0.1900678398849502,-27.583147333959626,1.0748877323347248,2.3246703683424528,2.664381434227041,0,0,0,0,450,NA
40,250,2500,0.8,0.8,0.1998390882015514,-27.565422400289282,0.29175901746116145,1.223535749770972,1.8999223275762338,0,0,0,0,440,NA
40,250,2500,0.8,0.95,0.009912299793487728,22.193385901747302,48.17744491123493,53.8442261575977,51.37651369927999,0,0,0,0,445,NA
40,250,2500,0.8,0.95,0.020076306911179623,-20.225544644855642,8.359323592897324,3.2886611338037985,11.91859943536138,0,0,0,0,450,NA
40,250,2500,0.8,0.95,0.030014421461553767,-22.64155704124506,8.155350316309189,13.069453514316741,12.42861960818111,0,0,0,0,442,NA
40,250,2500,0.8,0.95,0.03984382321137399,-29.833444373312382,2.1277991710908806,-1.4797970302392633,4.73889466859068,0,0,0,0,439,NA
40,250,2500,0.8,0.95,0.04999999597153313,-31.13520912714105,2.2442319158384874,-9.88236003213091,4.024110570121261,0,0,0,0,448,NA
40,250,2500,0.8,0.95,0.05995028303745747,-28.860344231771744,2.3854849358525927,1.5826701818318187,5.705559277538328,0,0,0,0,442,NA
40,250,2500,0.8,0.95,0.07004357654639723,-30.158043497600882,1.0246190998747662,-1.6630720746208414,3.562108087744379,0,0,0,0,444,NA
40,250,2500,0.8,0.95,0.07985389946003679,-29.813263440435545,3.1457634927311675,-3.9359486617008783,4.245375472300671,0,0,0,0,436,NA
40,250,2500,0.8,0.95,0.09005769599673488,-29.93105264083695,1.7978737194177734,0.6230133025509519,3.3157921001244555,0,0,0,0,432,NA
40,250,2500,0.8,0.95,0.10092145976379437,-31.660641350556546,-0.6475103297754572,-2.3266626445484535,0.9806040898975961,0,0,0,0,452,NA
40,250,2500,0.8,0.95,0.11010460386102104,-29.783377908946097,0.8822969515800996,3.687317800669423,2.4877578411204535,0,0,0,0,454,NA
40,250,2500,0.8,0.95,0.11995767669210997,-30.35365404478489,0.09316823669180813,-0.9332224274041295,1.350934689998982,0,0,0,0,453,NA
40,250,2500,0.8,0.95,0.1299855839797041,-30.13678777406014,-0.2601484673353917,2.8545028497030387,1.278883926427926,0,0,0,0,442,NA
40,250,2500,0.8,0.95,0.14011042979399077,-30.326022447675026,-0.8314534204401749,6.546774728485814,1.072089777059412,0,0,0,0,442,NA
40,250,2500,0.8,0.95,0.15025204503364473,-27.308421223893117,2.3186053041859087,1.405971777409466,3.2954908968005614,0,0,0,0,463,NA
40,250,2500,0.8,0.95,0.16032946675383158,-28.163842436389846,0.3461494894536731,4.988708573148232,1.8130874318385182,0,0,0,0,445,NA
40,250,2500,0.8,0.95,0.17026230863197309,-28.614731397289074,1.0613391075952512,-1.5764274473682556,1.3665846075313675,0,0,0,0,444,NA
