n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,MSE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,MSE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,MSE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.00996367921957674,0.7995,0.799268,0.0493508,0,0.062228339322911774,9.927490359062535e-5,0,0.023142596304853495,0.05259998400283252,5.354811581477351e-4,0.667,0.05158678295832241,0.0854292313519003,0.003401451408012267,0.943,0,0,0,0,-100,-6.63449929172321,273.5585191081522
40,250,2500,0.8,0.8,0.01997834425414818,0.799425,0.80022,0.0513856,0,0.06140278328887558,3.991342391372556e-4,0,0.03047910386262357,0.05194482486168663,9.71219705959743e-4,0.638,0.05733909844868769,0.08524199687434489,0.0038662922846540203,0.941,0,0,0,0,-100,-32.88865902171742,120.73419602412594
40,250,2500,0.8,0.8,0.03002936184339346,0.79895,0.79974,0.0536956,0,0.06141578071873266,9.017625727214551e-4,0,0.033824802750544655,0.051717662396839274,0.001340470294624477,0.609,0.062478567092217,0.08584567682008619,0.004424107056765073,0.938,0,0,0,0,-100,-46.79875421145084,76.26082585491501
40,250,2500,0.8,0.8,0.04000330203937927,0.800975,0.800212,0.0557832,0,0.060420787084944735,0.0016002641740538056,0,0.03521293664746466,0.05099927570707021,0.0017346874358530166,0.629,0.061929392734263254,0.08511872909622023,0.0040999340422567055,0.95,0,0,0,0,-100,-55.671727725306624,40.96303820821481
40,250,2500,0.8,0.8,0.04999567137930038,0.803875,0.801668,0.058666,0,0.059101270744978236,0.002499567156666995,0,0.0399308105819236,0.050051826723539916,0.00231164003672888,0.619,0.06715871838858334,0.0844313399769252,0.004819553322644472,0.947,0,0,0,0,-100,-53.624223601510806,35.43018460235432
40,250,2500,0.8,0.8,0.05999926960478014,0.800425,0.801436,0.0610408,0,0.05931910313404497,0.0035999123531070937,0,0.040247925064685955,0.050196655929503196,0.002904173308935044,0.609,0.0682161110902909,0.0851040951727721,0.0047913009626430894,0.943,0,0,0,0,-100,-59.76642126935863,19.896960824386404
40,250,2500,0.8,0.8,0.07000712314906282,0.798,0.798612,0.0634332,0,0.06051478013772451,0.004900997291608047,0,0.04199698301109946,0.05073964624402048,0.0036674415512918386,0.588,0.07190857800830215,0.08636822236125445,0.005208354594960619,0.95,0,0,0,0,-100,-62.35302684565457,9.332099765247674
40,250,2500,0.8,0.8,0.08001249446094907,0.8022,0.799724,0.0659356,0,0.059056820320185464,0.006401999269863406,0,0.044325805465197154,0.04972742983372563,0.004447661160439621,0.58,0.07168114145383661,0.08549612199389098,0.005177947109752432,0.943,0,0,0,0,-100.00000000000001,-62.30059337018021,8.374555412885165
40,250,2500,0.8,0.8,0.09000888898820279,0.800475,0.799664,0.0691168,0,0.0589230056332202,0.008101600096890614,0,0.049285063543369506,0.04968761703424875,0.005258928891646166,0.567,0.07468084972807958,0.08468623897830872,0.005590594926748579,0.938,0,0,0,0,-99.99999999999999,-59.127201471659156,4.8354527503381055
40,250,2500,0.8,0.8,0.09999005995689628,0.80195,0.801044,0.0714212,0,0.057812690542869236,0.009998012090183712,0,0.052102733589541685,0.04890973396089604,0.005895983678307621,0.571,0.07529382946801612,0.08424407106132285,0.005681899017306085,0.947,0,0,0,0,-100,-56.4325845827457,4.29081368279106
40,250,2500,0.8,0.8,0.10995001109680572,0.798925,0.800328,0.0743012,0,0.058293430821666596,0.0120890049401877,0,0.05842933420328555,0.048809411072922665,0.006842059609428416,0.564,0.07984044385661578,0.08521405283307121,0.006452301225741826,0.952,0,0,0,0,-100,-53.277749291907554,8.344632995087885
40,250,2500,0.8,0.8,0.11999765789701113,0.79785,0.8007960000000001,0.077254,0,0.05777010702778917,0.014399437900768117,0,0.05812638624995671,0.04879635472762583,0.0077272138660023455,0.541,0.0792040099558204,0.08496197830952425,0.006286611032325568,0.949,0,0,0,0,-100,-54.97528261841748,3.6902536707182803
40,250,2500,0.8,0.8,0.13001471613697346,0.800975,0.801096,0.0802032,0,0.05691538839539629,0.01690382641217779,0,0.061360177846366576,0.048316343929987245,0.008579116377172381,0.541,0.08136307490482685,0.08508129034199298,0.006620117776648915,0.946,0,0,0,0,-100,-53.38660740078311,2.003876735954542
40,250,2500,0.8,0.8,0.1399958225006507,0.800675,0.8001240000000001,0.0832248,0,0.05673870067733108,0.019598830317633698,0,0.0633810016155363,0.04819834790075313,0.009400422678056023,0.524,0.08197929353895243,0.08522438864697228,0.00672886826342965,0.946,0,0,0,0,-100,-52.42881463379422,2.7650509400873657
40,250,2500,0.8,0.8,0.1500062884448126,0.799575,0.80066,0.0861088,0,0.05659921369226314,0.022501886572988315,0,0.06711339004215909,0.04819420394800945,0.010009805293589413,0.526,0.08465184512092773,0.08464821560283034,0.007161002848495043,0.933,0,0,0,0,-100,-49.48463468435653,0.9963742510063989
40,250,2500,0.8,0.8,0.15999546007525647,0.80285,0.800112,0.0892724,0,0.05600151349016673,0.025598547244692987,0,0.06887487860531159,0.0478910714043937,0.010654444927531955,0.522,0.08346762085817351,0.08347705676326381,0.006969566760973247,0.938,0,0,0,0,-100,-48.071299111113866,1.9455902558485658
40,250,2500,0.8,0.8,0.1700305359643858,0.8008,0.800196,0.0929852,0,0.055611057947565976,0.028910383160336294,0,0.07070297973993767,0.047899563800612964,0.011658106058725054,0.498,0.08351485152877768,0.08444502826153238,0.006968120275625608,0.943,0,0,0,0,-100,-48.01167743513954,0.3551154784545715
40,250,2500,0.8,0.8,0.17998910113898153,0.8005,0.7995920000000001,0.096068,0,0.05562742675738528,0.032396076528818527,0,0.07075788234952324,0.04799197585447757,0.012257585317041813,0.507,0.0830906126905048,0.08413011290516582,0.006897553952026898,0.95,0,0,0,0,-99.99999999999999,-47.32600634530069,-0.3549187368365605
40,250,2500,0.8,0.8,0.19003513655803225,0.79885,0.8008040000000001,0.0995848,0,0.05490823485515128,0.036113353126629964,0,0.07484840265115628,0.047555262693277416,0.012007336738477562,0.515,0.08603962607248386,0.08373086958999293,0.007458062508762309,0.933,0,0,0,0,-100,-42.13250850238612,4.165047373073503
40,250,2500,0.8,0.8,0.19999737963987016,0.8022,0.79988,0.1031704,0,0.05434389569887701,0.03999895186281435,0,0.07694414619712443,0.04752902904683569,0.012916159544919668,0.499,0.08558305055656719,0.0830826778042621,0.007342063520610339,0.949,0,0,0,0,-100,-41.83856410460887,2.496502044803208
40,250,2500,0.8,0.95,0.01001009782113055,0.79745,0.950484,0.0095172,0,0.020184423582876136,1.0020205838860257e-4,0.01,0.021111530929527708,0.02243834130808809,4.4965705949055897e-4,0.681,0.031483234050546614,0.04287722981086399,0.0011792860423000876,0.884,0,0,0,0,-100,20.969342535532594,137.36881814373027
40,250,2500,0.8,0.95,0.02001001731130445,0.80135,0.9500759999999999,0.0110928,0,0.02012200908019862,4.004007927987037e-4,0,0.025520099842285173,0.02247024427446744,6.650091895549529e-4,0.649,0.03519920691921971,0.04406071958849185,0.0013265635034380068,0.899,0,0,0,0,-100.00000000000001,-18.95426735477263,47.09814608551594
40,250,2500,0.8,0.95,0.03002728306089709,0.800325,0.949572,0.0124608,8.993960839730918e-5,0.020232321367044136,9.013665175659841e-4,0,0.028429817358578715,0.02279430539700163,8.839210355378903e-4,0.617,0.04019600469491758,0.046028575853786106,0.0016642744625261418,0.901,0,0,0,0,-99.9845107896277,-29.123466445457684,23.589135199725153
40,250,2500,0.8,0.95,0.04001040026322383,0.80265,0.949928,0.014048399999999999,1.3355018775974622e-4,0.020005762025494624,0.0016005120188104607,0,0.03280376671521499,0.022964600152749048,0.0012274476477640785,0.594,0.044063410928222774,0.04767891789710967,0.0019794984655229545,0.906,0,0,0,0,-99.98944467507235,-30.858283533631678,15.77877323754711
