n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,num_negative_var_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.009963679219576747,0.7995,0.799268,0.0493508,0,0.062228339322911816,0,0.023142596304853495,0.05259998400283257,0.667,0.05158678295832241,0.08542923135190031,0.943,0,0,0,0,0,-100,-6.63449929172327,273.5585191081519
40,250,2500,0.8,0.8,0.01997834425414818,0.799425,0.80022,0.0513856,0,0.06140278328887562,0,0.03047910386262357,0.05194482486168668,0.638,0.05733909844868769,0.08524199687434492,0.941,0,0,0,0,1,-100,-32.88865902171742,120.73419602412594
40,250,2500,0.8,0.8,0.030029361843393467,0.79895,0.79974,0.0536956,0,0.0614157807187327,0,0.033824802750544655,0.05171766239683932,0.609,0.062478567092217,0.08584567682008622,0.938,0,0,0,0,0,-100,-46.798754211450856,76.26082585491497
40,250,2500,0.8,0.8,0.04000330203937927,0.800975,0.800212,0.0557832,0,0.06042078708494478,0,0.03521293664746466,0.05099927570707026,0.629,0.061929392734263254,0.08511872909622026,0.95,0,0,0,0,0,-100,-55.671727725306624,40.96303820821482
40,250,2500,0.8,0.8,0.04999567137930038,0.803875,0.801668,0.058666,0,0.05910127074497828,0,0.0399308105819236,0.050051826723539965,0.619,0.06715871838858334,0.08443133997692523,0.947,0,0,0,0,0,-100,-53.6242236015108,35.43018460235432
40,250,2500,0.8,0.8,0.05999926960478014,0.800425,0.801436,0.0610408,0,0.059319103134045016,0,0.040247925064685955,0.050196655929503245,0.609,0.0682161110902909,0.08510409517277213,0.943,0,0,0,0,0,-100,-59.76642126935863,19.896960824386404
40,250,2500,0.8,0.8,0.07000712314906282,0.798,0.798612,0.0634332,0,0.06051478013772455,0,0.04199698301109946,0.050739646244020525,0.588,0.07190857800830215,0.08636822236125448,0.95,0,0,0,0,0,-100,-62.35302684565457,9.332099765247676
40,250,2500,0.8,0.8,0.08001249446094907,0.8022,0.799724,0.0659356,0,0.059056820320185506,0,0.044325805465197154,0.049727429833725675,0.58,0.07168114145383661,0.085496121993891,0.943,0,0,0,0,0,-100.00000000000001,-62.30059337018021,8.374555412885165
40,250,2500,0.8,0.8,0.09000888898820279,0.800475,0.799664,0.0691168,0,0.05892300563322024,0,0.049285063543369506,0.0496876170342488,0.567,0.07468084972807958,0.08468623897830875,0.938,0,0,0,0,0,-99.99999999999999,-59.127201471659156,4.835452750338106
40,250,2500,0.8,0.8,0.09999005995689628,0.80195,0.801044,0.0714212,0,0.05781269054286928,0,0.052102733589541685,0.04890973396089609,0.571,0.07529382946801612,0.08424407106132288,0.947,0,0,0,0,0,-100,-56.43258458274569,4.290813682791061
40,250,2500,0.8,0.8,0.10995001109680573,0.798925,0.800328,0.0743012,0,0.05829343082166664,0,0.05842933420328555,0.048809411072922713,0.564,0.07984044385661578,0.08521405283307124,0.952,0,0,0,0,0,-100,-53.27774929190756,8.34463299508787
40,250,2500,0.8,0.8,0.11999765789701113,0.79785,0.8007960000000001,0.077254,0,0.05777010702778921,0,0.05812638624995671,0.04879635472762588,0.541,0.0792040099558204,0.08496197830952427,0.949,0,0,0,0,0,-100,-54.97528261841748,3.6902536707182803
40,250,2500,0.8,0.8,0.13001471613697346,0.800975,0.801096,0.0802032,0,0.05691538839539633,0,0.061360177846366576,0.0483163439299873,0.541,0.08136307490482685,0.085081290341993,0.946,0,0,0,0,0,-100,-53.38660740078311,2.0038767359545426
40,250,2500,0.8,0.8,0.1399958225006507,0.800675,0.8001240000000001,0.0832248,0,0.056738700677331125,0,0.0633810016155363,0.048198347900753176,0.524,0.08197929353895243,0.0852243886469723,0.946,0,0,0,0,0,-100,-52.42881463379422,2.765050940087366
