n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,MSE_hat_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,MSE_hat_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,MSE_hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.01001302890863757,0.7995,0.799268,0.1491,0.0035207817181604154,0.04986844215252999,0.491,1.0361031510295492e-4,0.02874752320161819,0.04695994306809115,0.947,9.80042818105319e-4,0.02981218055832296,0.046349442394512885,0.943,0.0010900264676922144,0,0,0,882,-95.38844464945856,124.11586215302967,141.9941531682616
40,250,2500,0.8,0.8,0.02001182691043619,0.799425,0.80022,0.153874,0.0034375044427610722,0.04900285722763344,0.479,3.9346235879130756e-4,0.031504044767176914,0.046323140166392135,0.951,0.0010846333029687321,0.03224476048265771,0.04571176007837024,0.948,0.001177183866878945,0,0,0,882,-97.62258387724788,48.22108858890099,58.808025921632684
40,250,2500,0.8,0.8,0.0299500950590778,0.79895,0.79974,0.1585688,0.0045752347762755725,0.04881163457441426,0.42,8.659203959609733e-4,0.03486395350653668,0.046205412498744144,0.942,0.0012569307762007281,0.03500956298298512,0.045614925447706726,0.947,0.0012947005048017384,0,0,0,890,-97.05822571998209,21.805522230635965,27.986306624805696
40,250,2500,0.8,0.8,0.03999187412181451,0.800975,0.800212,0.1632932,0.006273448553390644,0.04795246330228966,0.396,0.001525480616128102,0.03676494503509405,0.045618964795915325,0.956,0.0013649077673601865,0.03697889431787007,0.04500458051272936,0.949,0.0014047635273220756,0,0,0,886,-96.39657083129244,9.553853311638342,15.553951714307704
40,250,2500,0.8,0.8,0.04997626335845337,0.803875,0.801668,0.1683036,0.008085068308349999,0.046908012609558444,0.398,0.002344557467063024,0.0393785249969288,0.044918859307051875,0.961,0.001569329992392744,0.039718925388323216,0.04433446373094075,0.961,0.0016235290015847272,0,0,0,898,-95.52842763787629,8.99591782364035,13.792563975525454
40,250,2500,0.8,0.8,0.06004853633714793,0.800425,0.801436,0.173522,0.009518860666223067,0.04677308920557101,0.358,0.003327091376423429,0.039968169709599675,0.044938643798812905,0.961,0.001610138077253527,0.039658964828284196,0.04435403108199055,0.961,0.0016145662114562776,0,0,0,898,-94.7415086106891,6.293264718266153,10.958960757895111
40,250,2500,0.8,0.8,0.07001591337850442,0.798,0.798612,0.1781988,0.011975351855333381,0.04740215697535214,0.29,0.004462913531597711,0.04218440820410004,0.045577643546720954,0.942,0.0017789299507381473,0.041758957599364314,0.044980028212808616,0.944,0.0017449496693346428,0,0,0,893,-93.87012904979065,-1.554874379129382,2.4250519688445578
40,250,2500,0.8,0.8,0.08000050809077303,0.8022,0.799724,0.1826948,0.01430023569439158,0.046379955618814334,0.262,0.005677139575098379,0.04247864418003412,0.04486741198180591,0.947,0.0018031616470174537,0.041894987751508045,0.044289705774177505,0.955,0.0017552841821994961,0,0,0,884,-92.47278158671234,-0.9107552769547421,1.699885110166228
40,250,2500,0.8,0.8,0.08999472365008586,0.800475,0.799664,0.1880636,0.017745544566212367,0.04614382331782809,0.252,0.006968727776000389,0.04364532791499899,0.04492088080496434,0.948,0.001903028791704701,0.042833502729708345,0.04432940971136686,0.949,0.0018379929995890453,0,0,0,900,-90.64187167435703,-0.15339684857946279,2.5139985088641765
40,250,2500,0.8,0.8,0.09999102616110976,0.80195,0.801044,0.1927916,0.020600709834174218,0.04532972945700755,0.245,0.008182794459174775,0.043457359491725155,0.04446962239176404,0.967,0.0018873429658911624,0.04293456125397829,0.043890311284197465,0.958,0.0018550565563148294,0,0,0,899,-88.0921240517717,0.8303840934053107,3.677745267579715
40,250,2500,0.8,0.8,0.10998195946364372,0.798925,0.800328,0.1975624,0.022512615662868492,0.045487560312715676,0.214,0.009571031706658312,0.04351780854895245,0.044782858042797594,0.96,0.0018919530490559447,0.04240132007713373,0.04420326429037503,0.961,0.0018014425061758461,0,0,0,873,-86.56767623867792,-0.19751199449055223,2.1066983232603294
40,250,2500,0.8,0.8,0.11996015909244344,0.79785,0.8007960000000001,0.2028756,0.026216922461034093,0.045092940821185735,0.226,0.010748841639409938,0.04472989056343233,0.044788688876759304,0.948,0.002000709499643804,0.04377652036399665,0.04421731661173064,0.946,0.0019310200354506072,0,0,0,892,-83.61986874437237,1.163223048788306,3.3915418399542685
40,250,2500,0.8,0.8,0.130005486552786,0.800975,0.801096,0.2075704,0.02863988852975263,0.04455476870132257,0.203,0.011867791988633084,0.044030822285811184,0.04450458181012482,0.959,0.0019394970974606154,0.04401136556972105,0.04397584575833186,0.951,0.0019470393547199594,0,0,0,881,-80.8513739791013,1.2691771129730898,2.6619213698197663
40,250,2500,0.8,0.8,0.1399963391195168,0.800675,0.8001240000000001,0.2128924,0.03143920639150286,0.04443121353265822,0.186,0.01315018938578186,0.04524980067531577,0.04470446781876482,0.948,0.002045733341690099,0.044861768008446046,0.044146028751522334,0.958,0.0020185532646161686,0,0,0,863,-78.77697214539599,0.34732017851815766,2.0187933045003623
40,250,2500,0.8,0.8,0.14995432742463768,0.799575,0.80066,0.2179092,0.03363231159851431,0.04426988425824039,0.172,0.013950100555527303,0.04561694029402059,0.04488360722579265,0.958,0.002080154561556857,0.04463066492161388,0.04432490399092873,0.957,0.0020020962168616355,0,0,0,883,-75.5069088747395,0.7691367295179857,2.3284987638286845
40,250,2500,0.8,0.8,0.15996261543922463,0.80285,0.800112,0.2226604,0.034015271568155155,0.043891567985804444,0.136,0.015266720802246293,0.04318322567039871,0.04467994849797318,0.969,0.0018629390347946599,0.0425612856275245,0.044123888446254374,0.971,0.0018129206319146527,0,0,0,906,-74.26050942815385,0.07085548323116322,1.1302980925519415
40,250,2500,0.8,0.8,0.1700172154292447,0.8008,0.800196,0.2284472,0.037196993524890636,0.04376696494323043,0.153,0.01572129708029143,0.04474371895208385,0.044905677977051514,0.961,0.002000253705614141,0.044148541636772516,0.04438176595267582,0.965,0.001951473595373877,0,0,0,899,-70.43159250957983,0.2972006844869316,1.2237674850651976
40,250,2500,0.8,0.8,0.1799915042262595,0.8005,0.7995920000000001,0.2330536,0.039476388530494004,0.04379978591289935,0.137,0.016909065222568066,0.04684989946685313,0.045311339291424314,0.95,0.0021927402376383976,0.04593601880736361,0.04475970015935108,0.952,0.002109256314929765,0,0,0,911,-68.8388879287887,-0.08253833334780447,0.6208135734009461
40,250,2500,0.8,0.8,0.19000172131345672,0.79885,0.8008040000000001,0.2388852,0.04032082918196687,0.0434772257894941,0.143,0.016758375555214106,0.04566156808689442,0.04548335878011662,0.961,0.002096157054122024,0.04526658916254041,0.044964060080552766,0.965,0.002069351392075345,0,0,0,891,-64.74744851877749,1.9167574516448092,2.4874174801110684
40,250,2500,0.8,0.8,0.20004395145905793,0.8022,0.79988,0.2436516,0.040067149506241864,0.043226954963757766,0.127,0.017867496470620144,0.04515084508660248,0.04541528610044904,0.969,0.00203659522209412,0.04452980643288816,0.04489512228935376,0.964,0.0019825751486605035,0,0,0,908,-63.75064624874151,-0.09353273483115894,0.6429744321195541
