n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_RG_bias,n_sims
40,250,2500,0.8,0.8,0.01,120.45475864943222,0.012045475864943223,10000
40,250,2500,0.8,0.8,0.02,41.08080365542792,0.008216160731085585,NA
40,250,2500,0.8,0.8,0.03,21.572401951016293,0.006471720585304888,NA
40,250,2500,0.8,0.8,0.04,10.188298161955075,0.0040753192647820305,NA
40,250,2500,0.8,0.8,0.05,5.31391826105422,0.0026569591305271104,NA
40,250,2500,0.8,0.8,0.060000000000000005,2.2763056045993952,0.0013657833627596372,NA
40,250,2500,0.8,0.8,0.06999999999999999,-0.02209051518873533,-1.546336063211473e-5,NA
40,250,2500,0.8,0.8,0.08,-0.07797324253586146,-6.237859402868917e-5,NA
40,250,2500,0.8,0.8,0.09,-0.29175783624979834,-2.625820526248185e-4,NA
40,250,2500,0.8,0.8,0.09999999999999999,-0.4809040007692778,-4.8090400076927775e-4,NA
40,250,2500,0.8,0.8,0.11,-0.10150184401990327,-1.1165202842189359e-4,NA
40,250,2500,0.8,0.8,0.12,-0.2377016382458172,-2.8524196589498063e-4,NA
40,250,2500,0.8,0.8,0.13,-0.02198273750985819,-2.8577558762815647e-5,NA
40,250,2500,0.8,0.8,0.14,-0.16812868888398708,-2.3538016443758192e-4,NA
40,250,2500,0.8,0.8,0.15000000000000002,0.08887550635122697,1.3331325952684048e-4,NA
40,250,2500,0.8,0.8,0.16,0.13529801300255287,2.164768208040846e-4,NA
40,250,2500,0.8,0.8,0.17,0.3508085595458441,5.96374551227935e-4,NA
40,250,2500,0.8,0.8,0.18000000000000002,0.456774412053255,8.22193941695859e-4,NA
40,250,2500,0.8,0.8,0.19,-9.286995103496842e-4,-1.7645290696644e-6,NA
40,250,2500,0.8,0.8,0.2,0.34622455091624926,6.924491018324985e-4,NA
40,250,2500,0.8,0.95,0.01,40.83489725739176,0.004083489725739176,NA
40,250,2500,0.8,0.95,0.02,7.4672431962891945,0.001493448639257839,NA
40,250,2500,0.8,0.95,0.03,2.676611227169836,8.029833681509509e-4,NA
40,250,2500,0.8,0.95,0.04,0.2515144223711602,1.0060576894846407e-4,NA
40,250,2500,0.8,0.95,0.05,0.7919245320466284,3.959622660233142e-4,NA
40,250,2500,0.8,0.95,0.060000000000000005,0.04998990494163811,2.9993942964982867e-5,NA
40,250,2500,0.8,0.95,0.06999999999999999,-0.038884332976215,-2.7219033083350497e-5,NA
40,250,2500,0.8,0.95,0.08,-0.0048739945478909474,-3.899195638312758e-6,NA
40,250,2500,0.8,0.95,0.09,0.734243290286787,6.608189612581084e-4,NA
40,250,2500,0.8,0.95,0.09999999999999999,0.7117851663387965,7.117851663387964e-4,NA
