n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,n_sims
30,30,500,0.7,0.7,0.05,96.47397208659797,0.11515822939329895,0.3175218304978739,0.9273,10000
30,30,500,0.7,0.7,0.3,-0.6721523518581352,0.1711131463856292,0.2342659548492714,0.9648,NA
30,30,500,0.7,0.95,0.05,15.223594891824732,0.04620913472561674,0.06257611394291536,0.7964,NA
30,30,500,0.7,0.95,0.3,0.8748546721473368,0.06896107789968368,0.06833025853558039,0.9783,NA
30,30,500,0.7,1,0.05,1.7998388311215168,0.013643670150782154,0.013467223602882772,0.9352,NA
30,30,500,0.7,1,0.3,1.5878062677623004,0.04690996584052425,0.046063139339600614,0.9422,NA
30,30,5000,0.7,0.7,0.05,96.71885889872605,0.11186927869393166,0.31146498254968175,0.9213,NA
30,30,5000,0.7,0.7,0.3,-2.513908094564403,0.1643539571698249,0.22455028493052223,0.9621,NA
30,30,5000,0.7,0.95,0.05,15.68985302861761,0.04419929333463304,0.05886875058784173,0.7866,NA
30,30,5000,0.7,0.95,0.3,1.0301171196180163,0.0634007453164136,0.062073634377442496,0.982,NA
30,30,5000,0.7,1,0.05,1.6207824248559988,0.007615089397484593,0.007347666326347943,0.9365,NA
30,30,5000,0.7,1,0.3,1.485811726019156,0.039225122062178784,0.038417070583650736,0.927,NA
30,30,20000,0.7,0.7,0.05,97.41859386021815,0.11287654684038749,0.2996998830301627,0.9198,NA
30,30,20000,0.7,0.7,0.3,-2.2907099076377633,0.16374603699921245,0.22931716237634275,0.962,NA
30,30,20000,0.7,0.95,0.05,15.110285303408313,0.043678732570315626,0.058322797497817123,0.789,NA
30,30,20000,0.7,0.95,0.3,0.652623200575057,0.062503273586494,0.06154679021544609,0.9839,NA
30,30,20000,0.7,1,0.05,1.431264995942788,0.0068033128329746655,0.00653462135850147,0.928,NA
30,30,20000,0.7,1,0.3,1.4016679205693015,0.03892213329350582,0.03761400055309267,0.9241,NA
30,300,500,0.7,0.7,0.05,30.081905724063635,0.06710951468092133,0.0905445541447318,0.9802,NA
30,300,500,0.7,0.7,0.3,4.530488429862331,0.11090035597140427,0.10914099877797295,0.9605,NA
30,300,500,0.7,0.95,0.05,1.179530827567693,0.027282888967387644,0.027971957400765232,0.9756,NA
30,300,500,0.7,0.95,0.3,1.642344106938439,0.05393303581506756,0.05279487887768918,0.9457,NA
30,300,500,0.7,1,0.05,1.692470987354047,0.013744217371777423,0.013456073789117404,0.9345,NA
30,300,500,0.7,1,0.3,1.4875878521418882,0.04743410615184409,0.045958997706412194,0.9375,NA
30,300,5000,0.7,0.7,0.05,19.564353092170442,0.05538293613027674,0.07257254822488016,0.9784,NA
30,300,5000,0.7,0.7,0.3,4.006331779178326,0.09688315188084295,0.09262099705416157,0.9527,NA
30,300,5000,0.7,0.95,0.05,1.0979823206999084,0.020467581890545237,0.02108269808568003,0.9648,NA
30,300,5000,0.7,0.95,0.3,1.5622143453130437,0.04517824873614663,0.044108428095147416,0.9365,NA
30,300,5000,0.7,1,0.05,1.4702992812843652,0.007500491756954219,0.007320667276995096,0.938,NA
30,300,5000,0.7,1,0.3,1.6103820360422092,0.04017411011743536,0.0385319630185482,0.9307,NA
30,300,20000,0.7,0.7,0.05,15.955388897992458,0.0536839567955727,0.07097761590111451,0.9775,NA
30,300,20000,0.7,0.7,0.3,4.437383205771325,0.09541590104051188,0.09128764299328905,0.9456,NA
30,300,20000,0.7,0.95,0.05,0.20009134372006576,0.020423197386800422,0.020417905288255354,0.9612,NA
30,300,20000,0.7,0.95,0.3,1.7663440043098981,0.045323166024591896,0.043502543429549394,0.9342,NA
30,300,20000,0.7,1,0.05,1.4440702265108851,0.006558478192482824,0.00652710391443495,0.9339,NA
30,300,20000,0.7,1,0.3,1.4344649889828274,0.03875687698681243,0.03765598759986815,0.9231,NA
30,3000,500,0.7,0.7,0.05,15.13910252481526,0.052951906641029806,0.06171056435031119,0.9933,NA
30,3000,500,0.7,0.7,0.3,5.4946812212443765,0.10219828238981868,0.10816510802458365,0.9436,NA
30,3000,500,0.7,0.95,0.05,1.6134527178422313,0.021582121309346055,0.02139206149134105,0.9478,NA
30,3000,500,0.7,0.95,0.3,1.8161488139136206,0.052141210456149806,0.05121744168698037,0.9429,NA
30,3000,500,0.7,1,0.05,1.9152915781112805,0.013512783040367234,0.013477093694380767,0.9404,NA
30,3000,500,0.7,1,0.3,1.3990065416782382,0.046913638623699704,0.04598812165291879,0.938,NA
30,3000,5000,0.7,0.7,0.05,5.668170598984599,0.03128422796224413,0.030779884471829663,0.9757,NA
30,3000,5000,0.7,0.7,0.3,5.053493237350234,0.08576043158685748,0.08359377527396264,0.9203,NA
30,3000,5000,0.7,0.95,0.05,1.7171652822328687,0.011117128329311372,0.010973681433630093,0.9588,NA
30,3000,5000,0.7,0.95,0.3,1.89083511427172,0.044445822780004904,0.04230081554497859,0.9291,NA
30,3000,5000,0.7,1,0.05,1.7492586193510045,0.007638071316505605,0.00735821026640858,0.9352,NA
30,3000,5000,0.7,1,0.3,1.5556660599190253,0.04031109222290686,0.03851414849057697,0.9303,NA
30,3000,20000,0.7,0.7,0.05,2.556717104923556,0.02665377793416033,0.026338085567807305,0.9663,NA
30,3000,20000,0.7,0.7,0.3,5.3010556324433376,0.08377986384229452,0.07798108027488931,0.9176,NA
30,3000,20000,0.7,0.95,0.05,1.8794482181145322,0.009814497630680303,0.00958632438819204,0.9551,NA
30,3000,20000,0.7,0.95,0.3,1.7535161455835002,0.04318152269254168,0.04128014328216804,0.9226,NA
30,3000,20000,0.7,1,0.05,1.4867839597616366,0.006756781095632892,0.006535901919266178,0.9305,NA
30,3000,20000,0.7,1,0.3,1.6157442217973144,0.039462947406851225,0.03782849775499672,0.9272,NA
300,30,500,0.7,0.7,0.05,89.37911485049918,0.10793040006224637,0.25801524889819777,0.9141,NA
300,30,500,0.7,0.7,0.3,-5.83786903908227,0.15141673122072954,0.19500080584637372,0.9245,NA
300,30,500,0.7,0.95,0.05,15.17376902108189,0.04460055213682647,0.0593811735873048,0.7884,NA
300,30,500,0.7,0.95,0.3,-0.946825407289779,0.0558779919909741,0.05420949272532384,0.9201,NA
300,30,500,0.7,1,0.05,-0.32010873695824393,0.011984306651919668,0.0117963573058707,0.9359,NA
300,30,500,0.7,1,0.3,0.37894418514415146,0.028561756404876598,0.02844941984951817,0.948,NA
300,30,5000,0.7,0.7,0.05,84.26086386494963,0.10271797431715887,0.2778414224156739,0.9233,NA
300,30,5000,0.7,0.7,0.3,-6.181397012496833,0.14442909576662671,0.17974252836570287,0.9125,NA
300,30,5000,0.7,0.95,0.05,12.033948647826044,0.04240716526239288,0.05578888564494622,0.7936,NA
300,30,5000,0.7,0.95,0.3,-0.8755921786368637,0.04812822436807779,0.04492548397817824,0.8012,NA
300,30,5000,0.7,1,0.05,0.27108482034060577,0.004215742862363381,0.004177566581709456,0.9487,NA
300,30,5000,0.7,1,0.3,0.15452747438116088,0.01414563528550058,0.014064792177048098,0.9483,NA
300,30,20000,0.7,0.7,0.05,86.51416901000175,0.10424462792579856,0.24477183416688914,0.9217,NA
300,30,20000,0.7,0.7,0.3,-6.19590884654142,0.14214712669250804,0.17931610535681627,0.916,NA
300,30,20000,0.7,0.95,0.05,13.591954912942045,0.04219690044765251,0.05481317175196093,0.7871,NA
300,30,20000,0.7,0.95,0.3,-0.555989367746886,0.047401343564665854,0.04353798188219088,0.7814,NA
300,30,20000,0.7,1,0.05,0.18717037577918594,0.0027187051059767973,0.0026605953111188342,0.9437,NA
300,30,20000,0.7,1,0.3,0.10627076795869754,0.01204629343891198,0.012102125260845803,0.9481,NA
300,300,500,0.7,0.7,0.05,24.300255043587264,0.06083543722895243,0.08313417233518114,0.962,NA
300,300,500,0.7,0.7,0.3,-0.62431426866059,0.07538160954193404,0.07591896639048255,0.9564,NA
300,300,500,0.7,0.95,0.05,-0.22001281898394176,0.025603627618328777,0.026580193611985426,0.9718,NA
300,300,500,0.7,0.95,0.3,0.1023027413316983,0.03440563427725659,0.034842416342121985,0.9546,NA
300,300,500,0.7,1,0.05,0.6537330694507265,0.012131955827542562,0.011850284799818133,0.9365,NA
300,300,500,0.7,1,0.3,0.06776387119616922,0.028276638217275815,0.0284128268167967,0.9473,NA
300,300,5000,0.7,0.7,0.05,12.694763960888892,0.04985048023103244,0.0664802249612152,0.9587,NA
300,300,5000,0.7,0.7,0.3,-0.546350663072348,0.054471206391061185,0.05424742629795331,0.9535,NA
300,300,5000,0.7,0.95,0.05,-0.403332263641934,0.019203729918872172,0.019472485893803335,0.9489,NA
300,300,5000,0.7,0.95,0.3,0.09090492706265163,0.02067186970830414,0.02064069388261544,0.9528,NA
300,300,5000,0.7,1,0.05,0.19325160239037908,0.004159428075975419,0.004176592521198046,0.9518,NA
300,300,5000,0.7,1,0.3,0.11206337809201625,0.013938557883282243,0.014059141195004895,0.9511,NA
300,300,20000,0.7,0.7,0.05,11.626312357241234,0.04873951516375398,0.06492743530458753,0.9607,NA
300,300,20000,0.7,0.7,0.3,-0.5084946606071321,0.0522362499242393,0.05200910417989395,0.9505,NA
300,300,20000,0.7,0.95,0.05,-0.4003722895518924,0.018390941381513152,0.01872910348922249,0.9483,NA
300,300,20000,0.7,0.95,0.3,0.05773242645144376,0.019088909510273304,0.018937320959806103,0.9533,NA
300,300,20000,0.7,1,0.05,0.15383193014893715,0.0026423298489404775,0.0026585501899562165,0.9519,NA
300,300,20000,0.7,1,0.3,0.13691571869469307,0.012029696800145878,0.012111607098006036,0.951,NA
300,3000,500,0.7,0.7,0.05,9.989384015262642,0.0472106481242826,0.05626549662508065,0.9789,NA
300,3000,500,0.7,0.7,0.3,0.19527626482237123,0.06103396745172219,0.060948823009396254,0.9497,NA
300,3000,500,0.7,0.95,0.05,-0.3816453475985332,0.019994816091426584,0.019895217093822568,0.9463,NA
300,3000,500,0.7,0.95,0.3,0.29195415835971594,0.032401655048114535,0.03237332438066491,0.9495,NA
300,3000,500,0.7,1,0.05,0.05169730546238094,0.011923524639267862,0.01182474475019141,0.9355,NA
300,3000,500,0.7,1,0.3,0.12152184234657619,0.02823146526332134,0.028412885228500273,0.9525,NA
300,3000,5000,0.7,0.7,0.05,-0.10926105413275322,0.025372530022110342,0.02623067743631462,0.9717,NA
300,3000,5000,0.7,0.7,0.3,0.14580491753303967,0.030549815593768938,0.030439322256202706,0.9497,NA
300,3000,5000,0.7,0.95,0.05,-0.04678201757679634,0.008637493039851618,0.00861527138338378,0.9502,NA
300,3000,5000,0.7,0.95,0.3,0.28366508477236285,0.01604143607414811,0.016064403402631475,0.9491,NA
300,3000,5000,0.7,1,0.05,0.002770613175231973,0.004173462850945586,0.00417332505925543,0.9505,NA
300,3000,5000,0.7,1,0.3,0.11944318177274187,0.014101555990185402,0.014057355377370002,0.9482,NA
300,3000,20000,0.7,0.7,0.05,-0.14594030666693902,0.021555986648167536,0.021969463640502278,0.9548,NA
300,3000,20000,0.7,0.7,0.3,0.25212177234999283,0.026594763212356605,0.02641902981119192,0.9487,NA
300,3000,20000,0.7,0.95,0.05,0.1712640314641828,0.00693581488867755,0.006869631166444625,0.9506,NA
300,3000,20000,0.7,0.95,0.3,0.16633461686697365,0.013957461638531227,0.013833984186094498,0.9482,NA
300,3000,20000,0.7,1,0.05,0.1298012908727969,0.0026475816498704305,0.0026572957825950158,0.95,NA
300,3000,20000,0.7,1,0.3,0.07529173527267194,0.012100183625889657,0.012093314948458753,0.9474,NA
3000,30,500,0.7,0.7,0.05,92.19108029847342,0.10704432143272298,0.24535753919145453,0.9129,NA
3000,30,500,0.7,0.7,0.3,-6.973603119946289,0.14801764959892902,0.18890070466429254,0.9229,NA
3000,30,500,0.7,0.95,0.05,14.203838925489917,0.04459440530627368,0.05939798431404006,0.7885,NA
3000,30,500,0.7,0.95,0.3,-0.8182457241050489,0.05486122142591797,0.052383205644463894,0.9045,NA
3000,30,500,0.7,1,0.05,-0.2382617259130554,0.011720344002769743,0.011655876905598796,0.9364,NA
3000,30,500,0.7,1,0.3,-0.04012989423703613,0.026181545924421665,0.02622961089416899,0.9498,NA
3000,30,5000,0.7,0.7,0.05,82.949794364266907,0.10259269939971112,0.24291493001804043,0.9207,NA
3000,30,5000,0.7,0.7,0.3,-6.4095827365207025,0.1418806836339804,0.17679059112573398,0.914,NA
3000,30,5000,0.7,0.95,0.05,14.526159756212284,0.04221840077345485,0.054546310977085254,0.7846,NA
3000,30,5000,0.7,0.95,0.3,-1.046445624820073,0.04697278059890346,0.0424379927724111,0.788,NA
