n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,sims_w_positivity,hat_pi_SRG_restriction,n_sims
40,250,2500,0.8,0.8,0.01060163975242771,62.22678988236144,NaN,356.4957123507155,0,0,0,0,185.37955415686096,1000
40,250,2500,0.8,0.8,0.02077070959865541,-19.837752407111385,NaN,170.92485316146445,0,0,0,0,69.1826609412493,NA
40,250,2500,0.8,0.8,0.03019517365360694,-39.3929584925251,NaN,121.06429175645218,0,0,0,0,36.00802054169314,NA
40,250,2500,0.8,0.8,0.03969418411945516,-52.06542623064531,NaN,85.238647354163,0,0,0,0,16.68491166932891,NA
40,250,2500,0.8,0.8,0.04956295670523345,-62.82883431489008,NaN,62.94868520333202,0,0,0,0,-1.851456988162724,NA
40,250,2500,0.8,0.8,0.060451288744325975,-68.21276460497242,NaN,39.42330525369557,0,0,0,0,-14.905618559172202,NA
40,250,2500,0.8,0.8,0.06972801822541722,-75.2741479006979,NaN,22.28646546559167,0,0,0,0,-28.75043559806961,NA
40,250,2500,0.8,0.8,0.0820754530794618,-79.02842254229078,NaN,19.63314333618803,0,0,0,0,-30.312009208740477,NA
40,250,2500,0.8,0.8,0.09096698904891533,-79.97932058366098,NaN,19.053365050523595,0,0,0,0,-30.443306125235278,NA
40,250,2500,0.8,0.8,0.09979329355484201,-80.9212706952771,NaN,15.152073644965148,0,0,0,0,-33.339539499547215,NA
40,250,2500,0.8,0.8,0.11166570402924707,-82.05163054703462,NaN,16.03222023112455,0,0,0,0,-31.06498658985283,NA
40,250,2500,0.8,0.8,0.12009494391924055,-83.39179498876848,NaN,11.604851899189972,0,0,0,0,-36.095611895043504,NA
40,250,2500,0.8,0.8,0.12892777914354636,-84.25140339052037,NaN,10.666860798634174,0,0,0,0,-34.75730933186008,NA
40,250,2500,0.8,0.8,0.13815330303559484,-86.5457496743104,NaN,5.69525550511694,0,0,0,0,-39.262473698356516,NA
40,250,2500,0.8,0.8,0.15070892038993944,-86.67580091809555,NaN,9.204805932117717,0,0,0,0,-38.03279319502481,NA
40,250,2500,0.8,0.8,0.15975373504705917,-87.16734373271034,NaN,9.555547024344472,0,0,0,0,-37.73017535423817,NA
40,250,2500,0.8,0.8,0.17011870464146817,-86.8250580857273,NaN,8.413817926525118,0,0,0,0,-37.92728553624668,NA
40,250,2500,0.8,0.8,0.18078997708607034,-87.68515863017475,NaN,2.6000732711309955,0,0,0,0,-41.31700220930117,NA
40,250,2500,0.8,0.8,0.18952788589141298,-89.41631383417283,NaN,3.343179095731073,0,0,0,0,-41.81179619281374,NA
40,250,2500,0.8,0.8,0.20067460402269593,-89.2429906814073,NaN,3.0585244275332575,0,0,0,0,-42.54905407494664,NA
40,250,2500,0.8,0.95,0.01060163975242771,-28.63950883895237,NaN,128.43103908697853,0,0,0,0,40.86831302022028,NA
40,250,2500,0.8,0.95,0.02077070959865541,-62.98550105333856,NaN,76.8812972393719,0,0,0,0,8.515073546968807,NA
40,250,2500,0.8,0.95,0.03019517365360694,-72.51370142078828,NaN,44.36891174199015,0,0,0,0,-16.289310043830426,NA
40,250,2500,0.8,0.95,0.03969418411945516,-78.94911245955267,NaN,24.860488924550758,0,0,0,0,-27.851949812300898,NA
40,250,2500,0.8,0.95,0.04956295670523345,-83.64974261764556,NaN,14.75258788575457,0,0,0,0,-32.292101610376776,NA
40,250,2500,0.8,0.95,0.060451288744325975,-86.0771848151111,NaN,14.359297485588412,0,0,0,0,-34.1336607466258,NA
40,250,2500,0.8,0.95,0.06972801822541722,-88.17248290478898,NaN,7.900208074598282,0,0,0,0,-38.07570989370545,NA
40,250,2500,0.8,0.95,0.0820754530794618,-88.64850892219255,NaN,5.809532505999298,0,0,0,0,-40.41252473417468,NA
40,250,2500,0.8,0.95,0.09096698904891533,-89.59363741557665,NaN,7.86438393264103,0,0,0,0,-39.129613805890365,NA
40,250,2500,0.8,0.95,0.09979329355484201,-90.21439763187155,NaN,8.889627814644891,0,0,0,0,-39.52625097711757,NA
40,250,2500,0.8,0.95,0.11166570402924707,-91.17297662595709,NaN,4.43519590120131,0,0,0,0,-41.833840711671186,NA
40,250,2500,0.8,0.95,0.12009494391924055,-91.83841807786028,NaN,3.5567709094437805,0,0,0,0,-42.62345994997553,NA
40,250,2500,0.8,0.95,0.12892777914354636,-91.85511691964881,NaN,-1.4772510062884598,0,0,0,0,-43.71211036826031,NA
40,250,2500,0.8,0.95,0.13815330303559484,-92.59364983475758,NaN,3.398483461658416,0,0,0,0,-41.33937982997588,NA
40,250,2500,0.8,0.95,0.15070892038993944,-92.37760058541696,NaN,2.267482266784809,0,0,0,0,-42.29782036653143,NA
40,250,2500,0.8,0.95,0.15975373504705917,-93.16023934674978,NaN,1.8411744558771617,0,0,0,0,-42.710705178089555,NA
40,250,2500,0.8,0.95,0.17011870464146817,-93.4294115647038,NaN,-0.2189716428701984,0,0,0,0,-43.752642099476155,NA
40,250,2500,0.8,0.95,0.18078997708607034,-93.11432347120439,NaN,1.0707435859611147,0,0,0,0,-42.20240340276842,NA
40,250,2500,0.8,0.95,0.18952788589141298,-93.03382553519613,NaN,1.728214750553166,0,0,0,0,-42.42025162757228,NA
40,250,2500,0.8,0.95,0.20067460402269593,-93.19956799571413,NaN,2.5844141665471585,0,0,0,0,-41.79419662863776,NA
40,250,2500,0.8,0.99,0.01060163975242771,-65.04205018673757,NaN,49.54234608431337,0,0,0,0,-5.746256627465203,NA
40,250,2500,0.8,0.99,0.02077070959865541,-83.29102843367394,NaN,23.446147878985236,0,0,0,0,-30.292101539467737,NA
40,250,2500,0.8,0.99,0.03019517365360694,-87.12774737319091,NaN,19.0052341112565,0,0,0,0,-31.526793744120106,NA
40,250,2500,0.8,0.99,0.03969418411945516,-89.78903565529289,NaN,9.933521793413046,0,0,0,0,-37.35934073189754,NA
40,250,2500,0.8,0.99,0.04956295670523345,-91.39182923609101,NaN,3.9895528861524467,0,0,0,0,-41.286057490933636,NA
40,250,2500,0.8,0.99,0.060451288744325975,-92.21612977723211,NaN,-3.2541961073952628,0,0,0,0,-44.455082274823326,NA
40,250,2500,0.8,0.99,0.06972801822541722,-93.40797341600077,NaN,5.390774551464738,0,0,0,0,-41.42310772805543,NA
40,250,2500,0.8,0.99,0.0820754530794618,-93.99209211365951,NaN,4.906801665215696,0,0,0,0,-42.058066096382184,NA
